episome	episomes
spy	spying|spied|spies
portress	portresses
hireling	hirelings
burke	burked|burkes|burking
humanise	humanised|humanising|humanises
scorch	scorches|scorched|scorching
apostil	apostils
luminosity	luminosities
dioptre	dioptres
stab	stabs|stabbed|stabbing
feeble	feebling
drill	drills|drilled|drilling
microscope	microscopes
ad	ads
tentacled	tentacle|tentacles
dabster	dabsters
periapt	periapts
wheelie	wheelies
drosophila	drosophilas
speed	speeded|speeds|speeding
unmatured	unmaturing|unmature
despite	despites|despited|despiting
own	owning|owned|owns
backhand	backhands|backhanded|backhanding
moisturize	moisturized|moisturizing|moisturizes
untouchable	untouchables
skyed	sky|skies|skying|skied
bora	boras
reproving	reproved|reprove|reproves
scarf	scarfed|scarves|scarfs|scarfing
acrobatic	acrobatics
summation	summations
enfeeblement	enfeeblements
frame	framing|framed|frames
summate	summated|summates|summating
teazle	teazles|teazled|teazling
inductance	inductances
explanation	explanations
via	vias
confined	confines|confine|confining
feodary	feodaries
inarch	inarching|inarches|inarched
outgrowth	outgrowths
romewards	romeward
zemindar	zemindars
niggard	niggarded|niggards|niggarding
hazard	hazarded|hazarding|hazards
weeding	weeded|weeds|weed
inadvertency	inadvertencies
baby	babies|babying|babied
finesse	finessing|finesses|finessed
quarry	quarried|quarries|quarrying
posit	positing|posited|posits
variorum	variorums
contaminate	contaminates|contaminated|contaminating
fain	fains
barkeeper	barkeepers
closet	closets|closeted|closeting
room	roomed|rooms|rooming
gunned	gun|gunning|guns
unhood	unhoods|unhooded|unhooding
octoroon	octoroons
unexpired	unexpiring
protrude	protrudes|protruding|protruded
escarp	escarping|escarped|escarps
audible	audibles
ungrounded	unground
handbook	handbooks
latchkey	latchkeys
loose	loosing|looses|loosed
prizefighting	prizefight|prizefights
stasis	stases
stronghold	strongholds
smidgin	smidgins
hung	hangs|hang|hanging
plant	planting|plants|planted
chastise	chastising|chastised|chastises
generalissimo	generalissimos
menstruum	menstruums
berceuse	berceuses
infold	infolded|infolding|infolds
servant	servants
hamster	hamsters
sentimentalize	sentimentalizing|sentimentalizes|sentimentalized
leninist	leninists
burgage	burgages
ceroplastics	ceroplastic
imprison	imprisons|imprisoning|imprisoned
outthought	outthinking|outthinks|outthink
exorcize	exorcizes|exorcizing|exorcized
occlusion	occlusions
birthright	birthrights
submarine	submarining|submarines|submarined
mathematics	mathematic
cardiologist	cardiologists
jingle	jingling|jingled|jingles
donate	donated|donates|donating
quintic	quintics
unsecluded	unsecluding
miscreated	miscreate|miscreating
cartridge	cartridges
plantation	plantations
furring	fur|furs|furred|furrings
evolve	evolves|evolved|evolving
megrim	megrims
abounding	abound|abounded|abounds
paddocking	paddocks|paddocked|paddock
hydrostatics	hydrostatic
onager	onagers
doyley	doyleys
croupier	croupiers
fluency	fluencies
denatured	denaturing|denatures|denature
improvise	improvises|improvised|improvising
loosen	loosens|loosened|loosening
overclothes	overclothe
pasturer	pasturers
decelerate	decelerated|decelerating|decelerates
enuresis	enureses
dory	dories
morion	morions
stibium	stibiums
mutualize	mutualizing|mutualized
benumb	benumbs|benumbed|benumbing
generation	generations
electorate	electorates
refortify	refortifying|refortified|refortifies
misfeasance	misfeasances
fortnightly	fortnightlies
clarino	clarinos
platform	platformed|platforms
sleek	sleeked|sleeks|sleeking
aerodyne	aerodynes
ballpoint	ballpoints
attached	attach|attaches|attaching
coadunate	coadunating|coadunated
areolate	areolated
allegiance	allegiances
saprobe	saprobes
jaeger	jaegers
clubman	clubmen
microprogramming	microprogrammed|microprogram|microprograms
binary	binaries
steal	stole|stealing|stolen|steals
tininess	tininesses
troubler	troublers
cleave	cleaving|clove|cloven|cleaves
worn	wears|wearing|wore|wear
sponging	sponge|sponged|sponges
cotta	cottas
chou	chous
acme	acmes
option	options|optioning|optioned
amatory	amatories
variance	variances
neurology	neurologies
builder	builders
suburbanise	suburbanised|suburbanising
tracheate	tracheated
northerner	northerners
tetragon	tetragons
gargoyle	gargoyled|gargoyles
eructate	eructs|eructed|eructing|eructates
regular	regulars
moral	morals
verification	verifications
preconceived	preconceiving|preconceive|preconceives
sonatina	sonatinas
sweep	sweeps|swept|sweeping
sacral	sacrals
commonality	commonalities
clutch	clutched|clutching|clutches
colorcast	colorcasted|colorcasting|colorcasts
fiduciary	fiduciaries
imbecility	imbecilities
denaturalize	denaturalizing|denaturalized
mediatise	mediatising|mediatised
lieutenancy	lieutenancies
dromedary	dromedaries
agitprop	agitprops
quarterdeck	quarterdecks
ague	agues
chimera	chimeras
cumulate	cumulates|cumulated|cumulating
untuned	untune|untuning|untunes
kohl	kohls
submodule	submodules
otocyst	otocysts
sociolinguistic	sociolinguistics
oatcake	oatcakes
dextran	dextrans
glaciologist	glaciologists
telefilm	telefilms
consistency	consistencies
gharri	gharris
sowing	sows|sowed|sown|sow
flummox	flummoxed|flummoxing|flummoxes
condescension	condescensions
escarole	escaroles
predetermine	predetermining|predetermines|predetermined
gewgaw	gewgaws|gewgawed
assistant	assistanted|assistants
unblindfold	unblindfolded
encompassing	encompass|encompassed|encompasses
protect	protected|protects|protecting
unsubjugated	unsubjugate
pecan	pecans
aggravate	aggravating|aggravates|aggravated
musicology	musicologies
patent	patents|patented|patenting
drabble	drabbled|drabbling|drabbles
phimoses	phimosed
cost	costing|costs
frankincense	frankincensed
groan	groaning|groans|groaned
bairn	bairns
stagger	staggers|staggered|staggering
yearbook	yearbooks
fibering	fiber|fibers
unrelenting	unrelented
sedum	sedums
cache	caching|caches|cached
waste	wastes|wasting|wasted
socking	sock|socked|socks
clinger	clingers
automatize	automatizing|automatized|automatizes
vault	vaulting|vaulted|vaults
pentagon	pentagons
womb	wombs|wombed
soffit	soffits
fuzz	fuzzed|fuzzes|fuzzing
homework	homeworks
fourth	fourths
hunter	hunters
downtown	downtowns
buckshee	buckshees
play	plays|playing|played
outbounds	outbound
mealtime	mealtimes
mesotron	mesotrons
undried	undry|undrying
mantra	mantras
regional	regionals
ermine	ermined|ermines|ermining
crook	crooked|crooks|crooking
firearm	firearms|firearmed
gambol	gambols|gambolled|gambolling
underground	undergrounds
hamstrung	hamstringing|hamstrings|hamstring
clank	clanking|clanked|clanks
configure	configures|configured|configuring
casserole	casseroles|casseroling|casseroled
repaper	repapers
unbenumb	unbenumbed
reconstitute	reconstitutes|reconstituting|reconstituted
analyses	analyse|analysed|analysing
oogamete	oogametes
thorpe	thorpes
menfolks	menfolk
exulcerate	exulcerating|exulcerated
meristem	meristems
maraud	marauding|marauded|marauds
invoke	invokes|invoked|invoking
programer	programers
plodding	plods|plod|plodded
probity	probities
outsleep	outsleeping|outsleeps
refloat	refloats|refloated|refloating
seriated	seriating
uncinate	uncinated
unadmiring	unadmire|unadmired
vane	vanes|vaned
mercantilist	mercantilists
prefab	prefabbing|prefabbed|prefabs
legendize	legendized|legendizing
autotomy	autotomies
penumbra	penumbras
glassiness	glassines
olympian	olympians
globin	globins
contango	contangoes
stepchild	stepchildren
sirrah	sirrahs
asteroid	asteroids
gothite	gothites
sporting	sport|sported|sports
materialist	materialists
twosome	twosomes
prettifier	prettifiers
sniggle	sniggled|sniggles|sniggling
techie	techies
greenfly	greenflies
gestapo	gestapos
gobbing	gobbed|gob|gobs
polygamy	polygamies
farina	farinas
fender	fenders
stereoscope	stereoscopes
malarky	malarkies
unprovided	unprovide|unproviding
battlements	battlement|battlemented
bestir	bestirred|bestirring|bestirs
dressing	dresses|dressings|dress|dressed
trammel	trammelling|trammels|trammelled
linkman	linkmen
kopje	kopjes
leadsman	leadsmen
zoospore	zoospores
belittle	belittling|belittles|belittled
diagnose	diagnosed|diagnoses|diagnosing
dolly	dollied|dollies|dollying
unentangled	unentangling|unentangle
gratia	gratias
street	streets
jalopy	jalopies
faitour	faitours
spots	spot|spotting|spotted
falsehood	falsehoods
spick	spicks
jay	jays
holmium	holmiums
introduce	introduced|introduces|introducing
sweetener	sweeteners
spasm	spasms|spasmed
bolshevist	bolshevists
duchess	duchesses
granule	granules
unshipped	unshipping|unships|unship
coulee	coulees
ingrate	ingrates
uniface	unifaces|unifaced
dragsman	dragsmen
knobbed	knob|knobbing|knobs
culprit	culprits
headache	headaches
sceptic	sceptics
assenter	assenters
hanging	hangs|hang|hung|hangings
monad	monads
undesigning	undesigned|undesign
wolfram	wolframs
pigtailed	pigtail|pigtails
trapper	trappers
phono	phonos
symptom	symptoms
hornswoggle	hornswoggling|hornswoggled
roadway	roadways
prowl	prowls|prowled|prowling
kiln	kilning|kilns|kilned
subcompact	subcompacts
abatised	abatises
gouge	gouges|gouging|gouged
shill	shilled|shilling|shills
garnet	garnets
emendation	emendations
revere	reveres|revered|revering
rusticate	rusticates|rusticated|rusticating
trailblazing	trailblaze
vaporise	vaporises|vaporising|vaporised
flowerer	flowerers
handbill	handbills
citizen	citizens
girlhood	girlhoods
fratricide	fratricides
dryer	dryers
newsie	newsies
attractant	attractants
exanthema	exanthemas
laverock	laverocks
katharsis	katharses
outpatient	outpatients
shadow	shadowed|shadowing|shadows
breve	breves
paralysed	paralyses|paralyse|paralysing
formularize	formularizing|formularized
haunted	haunt|haunting|haunts
gharry	gharries
surrounding	surrounds|surroundings|surround|surrounded
ensanguined	ensanguining|ensanguine
homophile	homophiles
grappling	grapple|grapples|grappled
collector	collectors
maximal	maximals
lathe	lathing|lathes|lathed
extermination	exterminations
sat	sit|sitting|sits
liber	libers
cracked	crack|cracks|cracking
inflamer	inflamers
hoick	hoicks|hoicked|hoicking
rumored	rumoring
conjuncture	conjunctures
fusspot	fusspots
fustian	fustians
attained	attain|attains|attaining
writhe	writhes|writhing|writhed
lobbying	lobbies|lobby|lobbied
acceleration	accelerations
kedge	kedging|kedges|kedged
sugary	sugaries
invade	invading|invaded|invades
amidships	amidship
hippo	hippos
granuloma	granulomas
potsherd	potsherds
consent	consenting|consented|consents
embrangle	embrangling|embrangled
necrology	necrologies
denture	dentures
picquet	picquets
monthly	monthlies
outstand	outstands|outstanding|outstood
mycology	mycologies
random	randoms
cajeput	cajeputs
member	members
tokay	tokays
script	scripts|scripting|scripted
sup	supping|supped|sups
precedented	precedent|precedents
knot	knotting|knots|knotted
format	formatting|formats|formatted
pisolite	pisolites
charlady	charladies
unstreamed	unstreaming
tedium	tediums
flench	flenched|flenching|flenches
seniority	seniorities
intertangle	intertangling|intertangled|intertangles
augury	auguries
gonangium	gonangiums
cachet	cachets
optometrist	optometrists
machinery	machineries
undismayed	undismay
chipper	chippers
flame	flamed|flaming|flames
ikebana	ikebanas
azote	azotes|azoted
prothesis	protheses
briny	brinies
tenderloin	tenderloins
beware	bewares|bewaring|bewared
gunning	gun|gunned|gunnings|guns
dago	dagoes|dagos
tau	taus
cherry	cherries|cherrying|cherried
boater	boaters
outwards	outward
smutch	smutching|smutched|smutches
graphing	graphs|graph|graphed
scorched	scorches|scorch|scorching
snapweed	snapweeds
mechanize	mechanizes|mechanizing|mechanized
longer	longers
canoodling	canoodle|canoodled|canoodles
lemonade	lemonades
admission	admissions
arrangement	arrangements
ultracentrifuge	ultracentrifuged|ultracentrifuging
cot	cots|cotted
ungear	ungeared
bagpiper	bagpipers
citified	citifies|citify|citifying
shown	shows|showed|showing|show
succedaneum	succedaneums
deadener	deadeners
eglantine	eglantines
fumigation	fumigations
weary	wearying|wearies|wearied
acrospire	acrospiring|acrospired
hexagon	hexagons
uptowner	uptowners
vegetate	vegetates|vegetating|vegetated
factoring	factors|factor|factored
argonaut	argonauts
voter	voters
untried	untrying
musket	muskets
sylvite	sylvites
snore	snored|snores|snoring
handcuff	handcuffing|handcuffed|handcuffs
bustard	bustards
uncoffined	uncoffining
speiss	speisses
elastic	elastics
misaddress	misaddressed|misaddresses|misaddressing
professor	professors
councillor	councillors
puna	punas
polyglotted	polyglot|polyglots|polyglotting
paradox	paradoxes
mouth	mouthed|mouths|mouthing
guano	guanos
babble	babbled|babbles|babbling
amphictyony	amphictyonies
analogize	analogizing|analogized
vigia	vigias
ordure	ordures
harbinger	harbingers
tournament	tournaments
throes	throe|throeing
barbican	barbicans
transept	transepts
momentum	momenta|momentums
haulier	hauliers
regnancy	regnancies
adiposis	adiposes
sensor	sensors
jollification	jollifications
variolate	variolating|variolated
adobe	adobes
constitutional	constitutionals
blab	blabbed|blabs|blabbing
nosebleed	nosebleeds
ear	ears|earing|eared
diluvium	diluviums
electrothermic	electrothermics
nodulated	nodulate
bottomry	bottomried|bottomries|bottomrying
polygamist	polygamists
offence	offences
roil	roiled|roiling|roils
gasp	gasps|gasped|gasping
isomorph	isomorphs
gourd	gourding|gourded|gourds
alkalize	alkalizing|alkalizes|alkalized
cavity	cavities|cavitied
suture	sutured|sutures|suturing
hanuman	hanumans
lobe	lobed|lobes|lobing
disappear	disappeared|disappears|disappearing
circularizer	circularizers
gradual	graduals
commercialist	commercialists
readjourn	readjourns|readjourning|readjourned
fetch	fetches|fetched|fetching
upright	uprights|uprighting|uprighted
interrogation	interrogations
trysail	trysails
dapple	dappled|dappling|dapples
cheapen	cheapened|cheapens|cheapening
rescaling	rescales|rescaled|rescale
scripture	scriptures|scriptured
gybe	gybes|gybing|gybed
monopolize	monopolizes|monopolizing|monopolized
peseta	pesetas
unbooted	unboot
arraignment	arraignments
congratulate	congratulated|congratulating|congratulates
gearshift	gearshifts
zouave	zouaves
bemire	bemired|bemiring|bemires
waggon	waggoned|waggons|waggoning
summarize	summarizes|summarizing|summarized
reduction	reductions
mythology	mythologies
encapsulated	encapsulates|encapsulate|encapsulating
foul	fouls|fouling|fouled
belly	bellies|bellying|bellied
underachiever	underachievers
deserter	deserters
embodiment	embodiments
pastorate	pastorates
underwent	undergone|undergo|undergoing|undergoes
caryatid	caryatids
weather	weathers|weathering|weathered
karoo	karoos
peace	peaced|peacing|peaces
meritocracy	meritocracies
bongoist	bongoists
laten	latens
beluga	belugas
injunction	injunctions
indumentum	indumentums
bulletin	bulletins|bulletining|bulletined
tile	tiling|tiles|tiled
uroscopy	uroscopies
growl	growled|growls|growling
pulsar	pulsars
locale	locales|localing|localed
murmur	murmurs|murmured|murmuring
corbel	corbelling|corbelled|corbels
thermostatics	thermostatic
forecasting	forecast|forecasted|forecasts
implement	implements|implemented|implementing
saracen	saracens
taker	takers
dispraise	dispraising|dispraised
misread	misreading|misreads
vibrator	vibrators
subversion	subversions
alkane	alkanes
ranked	rank|ranks|ranking
effusion	effusions
bally	ballies
outsell	outselling|outsells|outsold
dumbbell	dumbbells
requisite	requisites
tatting	tat|tatted|tattings|tats
copier	copiers
docent	docents
unseeded	unseeding
acnode	acnodes
moderato	moderatos
ambition	ambitions|ambitioning|ambitioned
intoxicant	intoxicants
sintered	sinters|sintering|sinter
agama	agamas
accelerator	accelerators
halfbeak	halfbeaks
peep	peeps|peeped|peeping
collation	collations
mould	moulds|moulded|moulding
lodger	lodgers
devoted	devote|devoting|devotes
mounted	mounts|mount|mounting
use	using|uses|used
precogitate	precogitating|precogitated
syncopation	syncopations
platitude	platitudes
convey	conveying|conveys|conveyed
gp	gps
wore	wears|worn|wearing|wear
rogue	rogues|rogueing
confutation	confutations
overtrain	overtraining|overtrained|overtrains
subcontract	subcontracts|subcontracting|subcontracted
generic	generics
limitary	limitaries
torrefy	torrefying|torrefies|torrefied
sovietize	sovietized|sovietizing|sovietizes
slumlord	slumlords
selector	selectors
monetise	monetising|monetises|monetised
fissiped	fissipeds
earring	earrings
padshah	padshahs
toccata	toccatas
sphagnum	sphagnums
mizen	mizens
mil	milled|mils|milling
psychics	psychic
steering	steered|steer|steers
obstinacy	obstinacies
reshuffle	reshuffles|reshuffled|reshuffling
atopy	atopies
syllabicate	syllabicating|syllabicated
independency	independencies
marker	markers
nominal	nominals
retread	retreads|retreading|retreaded
aswoon	aswooned
administered	administering|administers|administer
energetics	energetic
debilitate	debilitating|debilitates|debilitated
rencounter	rencountering|rencountered|rencounters
trudge	trudges|trudging|trudged
polynesian	polynesians
blusterer	blusterers
taxation	taxations
selenide	selenides
expostulation	expostulations
tinman	tinmen
opossum	opossums
accommodated	accommodate|accommodating|accommodates
cassowary	cassowaries
relieve	relieving|relieves|relieved
aunthood	aunthoods
foodstuff	foodstuffs
lenticulated	lenticulating|lenticulate
lager	lagers
abide	abiding|abode|abides
jeering	jeers|jeered|jeer
rubbing	rubs|rubbed|rub|rubbings
batiste	batistes
redispose	redisposing|redisposed
neapolitan	neapolitans
lictor	lictors
kheda	khedas
sanctified	sanctify|sanctifying|sanctifies
girt	girding|girds|girts|gird
orderly	orderlies
photon	photons
langur	langurs
inlander	inlanders
zither	zithers
intubate	intubates|intubating|intubated
jellify	jellifying|jellifies|jellified
fairy	fairies
proportions	proportion|proportioning|proportioned
antiquity	antiquities
life	lives
chignon	chignons
caliph	caliphs
deceiver	deceivers
oratress	oratresses
piercing	pierced|pierces|pierce
flaccidity	flaccidities
oyer	oyers
transmitter	transmitters
buster	busters
yardman	yardmen
trochoid	trochoids
canon	canons
chomp	chomps|chomping|chomped
victual	victualling|victuals|victualled
abduct	abducting|abducts|abducted
outsoar	outsoared|outsoars|outsoaring
larynx	larynges|larynxes
vis	viss|vi|vied
transgressor	transgressors
penciler	pencilers
gelt	gelds|gelts|geld|gelding
organized	organize|organizes|organizing
concourse	concourses
unpack	unpacking|unpacks|unpacked
sown	sows|sowing|sowed|sow
browbeat	browbeating|browbeats|browbeaten
undebated	undebating
radial	radials
regatta	regattas
laver	lavers
fibroin	fibroins
unaware	unawared|unawares
outlaid	outlaying|outlay|outlays
lox	loxing|loxed|loxes
hillside	hillsides
brother	brethren|brotherred|brothers
absorbent	absorbents
silo	siloed|siloing|silos
unappeased	unappeasing
tramroad	tramroads
evolving	evolve|evolves|evolved
tighten	tightened|tightens|tightening
antiquarian	antiquarians
floreated	floreating|floreat
forecaster	forecasters
brakesman	brakesmen
tarzan	tarzans
echinoid	echinoids
mis	mi|miss
necropolis	necropoli
gerbil	gerbils
prefabricated	prefabricating|prefabricates|prefabricate
jakes	jake
wangler	wanglers
epidemic	epidemics
baptistery	baptisteries
mineralize	mineralizes|mineralized|mineralizing
tercel	tercels
convocation	convocations
illiteracy	illiteracies
lilac	lilacs
flushed	flushing|flushes|flush
soke	sokes
offensive	offensives
azalea	azaleas
schematic	schematics
nirvana	nirvanas
jocko	jockos
enlarged	enlarge|enlarges|enlarging
strath	straths
kirsch	kirsches
backwater	backwatered|backwaters
cedar	cedars
masochist	masochists
plodder	plodders
circularize	circularizing|circularizes|circularized
foreface	forefaces
adduct	adducting|adducted|adducts
mammoth	mammoths
ratios	ratio
recede	receded|receding|recedes
balker	balkers
floruit	floruits
geophone	geophones
city	cities|citied
auction	auctioning|auctioned|auctions
uranology	uranologies
busboy	busboys
coyness	coynesses
inamorato	inamoratos
frosting	frosted|frosts|frostings|frost
gymnastic	gymnastics
try	tried|tries|trying
pipal	pipals
imperilment	imperilments
admonishment	admonishments
caravel	caravels
neck	necking|necked|necks
drafting	banked|banking|draftings|drafts|draft
attestation	attestations
occident	occidents
staffer	staffers
intercommunity	intercommunities
inch	inched|inching|inches
chemist	chemists
mycosis	mycoses
assisted	assisting|assists|assist
men	mens
crumpet	crumpets
peak	peaks|peaked|peaking
swat	swats|swatting|swatted
wariness	warinesses
dependant	dependants
fashion	fashions|fashioning|fashioned
rakehell	rakehells
tenner	tenners
dictate	dictates|dictating|dictated
hinnie	hinnies
ladyship	ladyships
peal	peals|pealed|pealing
crips	crip
amanita	amanitas
formulation	formulations
briton	britons
hooch	hooches
chairperson	chairpersons
freelance	freelanced|freelances|freelancing
pooves	poove
broncho	bronchos
piton	pitons
gist	gists
presume	presumed|presuming|presumes
screenings	screening
crater	cratering|craters|cratered
defibrillate	defibrillating|defibrillated
tray	trays
caste	casting|castes|casted
diva	divas
stampede	stampedes|stampeded|stampeding
meditate	meditated|meditates|meditating
issue	issues|issuing|issued
broach	broaches|broaching|broached
fore	fores
orthopedics	orthopedic
deserted	deserts|desert|deserting
resole	resoles|resoling|resoled
strow	strowing|strows|strowed
darkness	darknesses
mortician	morticians
clothe	clothes|clothing|clothed
bipart	biparted
sundown	sundowning|sundowns
shoplifting	shoplift|shoplifted|shoplifts
temperer	temperers
bribee	bribees
shifter	shifters
incorrupted	incorrupt
unmeditated	unmeditating
talc	talcs|talcking|talcked
coaxing	coax|coaxed|coaxes
extraordinary	extraordinaries
cheeper	cheepers
bucked	bucks|bucking|buck
underbelly	underbellies
truncate	truncating|truncated|truncates
goods	good|gooding
pailful	pailfuls
sniveling	sniveled
sketcher	sketchers
dally	dallying|dallies|dallied
shindig	shindigs
baffy	baffies
guaiacum	guaiacums
woman	womaned|women|womans|womaning
recipient	recipients
bridgehead	bridgeheads
londoner	londoners
oogonium	oogoniums
gat	gating|gated|gats
profile	profiles|profiling|profiled
q	qs|qed
bowel	bowelled|bowelling|bowels
parlay	parlayed|parlaying|parlays
drawstring	drawstrings
uptrend	uptrends
exposer	exposers
commonalty	commonalties
ladleful	ladlefuls
suffragist	suffragists
kisser	kissers
dealt	deal|dealing|deals
surrey	surreys
chile	chiles
oboist	oboists
became	becoming|become|becomes
electroplating	electroplated|electroplates|electroplate
idolatrize	idolatrizing|idolatrized
countermove	countermoving|countermoved
counting	count|counts|counted
weld	welded|welds|welding
athletic	athletics
polypod	polypods
claimant	claimants
contrivance	contrivances
spinach	spinaches
connected	connecting|connect|connects
misreading	misread|misreads
allurement	allurements
confederation	confederations
injector	injectors
otoscope	otoscopes
revegetate	revegetating|revegetated
closed	closing|closes|close
mystification	mystifications
assessor	assessors
eatables	eatable
wooded	wooding|wood|woods
peroration	perorations
eyring	eyr
swamper	swampers
polysemy	polysemies
peach	peaching|peaches|peached
intimidation	intimidations
expurgation	expurgations
normalization	normalizations
betrothed	betroth|betrothing|betroths
dress	dresses|dressing|dressed
triage	triages
inviting	invites|invited|invite
nervine	nervines
mutiny	mutinied|mutinies|mutinying
shower	showering|showered|showers
attraction	attractions
shebang	shebangs
unanimity	unanimities
unscramble	unscrambles|unscrambled|unscrambling
acescent	acescents
shunter	shunters
neon	neons|neoned
easterner	easterners
senhora	senhoras
residence	residences
gondolier	gondoliers
procure	procuring|procured|procures
estrangement	estrangements
egyptian	egyptians
transcript	transcripts
edifier	edifiers
lagger	laggers
animadversion	animadversions
testimonial	testimonials
affinity	affinities
perishables	perishable
dialogue	dialoguing|dialogues|dialogued
categorization	categorizations
lateness	latenesses
mariner	mariners
triplex	triplexes
assets	asset
lagniappe	lagniappes
cheerer	cheerers
inspector	inspectors
antiproton	antiprotons
socager	socagers
answerer	answerers
delouse	deloused|delousing|delouses|delice
collier	colliers
duramen	duramens
undesigned	undesign|undesigning
accouterment	accouterments
daimon	daimons
reboot	rebooting|rebooted|reboots
explosive	explosives
checked	checks|check|checking
frontiersman	frontiersmen
mower	mowers
signing	sign|signed|signs
polynomial	polynomials
madam	madams
exhibit	exhibiting|exhibits|exhibited
grille	grilling|grilled|grilles
lever	levering|levered|levers
moveable	moveables
output	outputted|outputs|outputting
antinode	antinodes
decile	deciles
disproof	disproofs
dissonance	dissonances
astrobiologist	astrobiologists
mayfly	mayflies
grotesquerie	grotesqueries
blasting	blastings|blast|blasts|blasted
taiga	taigas
jerrycan	jerrycans
rayed	rays|ray|raying
fate	fates|fating|fated
paduasoy	paduasoys
virulency	virulencies
apostrophe	apostrophes
hogtie	hogtied|hogties|hogtying
candied	candies|candy|candying
prolegs	proleg
svedberg	svedbergs
brash	brashes
rectangle	rectangles|rectangled
readopt	readopting|readopted|readopts
stockade	stockades|stockaded|stockading
anaclastics	anaclastic
unschooled	unschool
lapin	lapins
unguent	unguents
dermatosis	dermatoses
siphuncle	siphuncled
sextan	sextans
cuneate	cuneated
gleeman	gleemen
agon	agons
gibbsite	gibbsites
trefoil	trefoiled|trefoils
beshrew	beshrewing|beshrewed|beshrews
supergroup	supergroups
swagman	swagmen
dermatologist	dermatologists
linocut	linocuts
decerebrate	decerebrated|decerebrating
intensity	intensities
venturer	venturers
horripilate	horripilated|horripilating
estop	estops|estopped|estopping
fricative	fricatives
snarl	snarls|snarling|snarled
deadfall	deadfalls
tested	tests|test|testing
antipodes	antipode
infatuated	infatuate|infatuates|infatuating
sheik	sheiks
corrective	correctives
vulgarization	vulgarizations
salience	saliences
outflow	outflowing|outflows|outflowed
hicks	hick
emerge	emerged|emerging|emerges
maul	mauls|mauling|mauled
retrod	retrodden
applicant	applicants
princeling	princelings
scaler	scalers
pterygium	pterygiums
counterpart	counterparts
rely	relying|relies|relied
gnarl	gnarls|gnarling|gnars|gnarled
dukedom	dukedoms
folkmoot	folkmoots
frothing	froths|frothed|froth
habitation	habitations
gazelle	gazelles
cognate	cognates
tuna	tunas
drone	drones|droning|droned
mammy	mammies
tableland	tablelands
larboard	larboards
marsh	marshes
nativity	nativities
follows	follow|following|followed
slosh	sloshes|sloshed|sloshing
demeaning	demeaned|demean|demeans
freeload	freeloads|freeloaded|freeloading
essonite	essonites
pompano	pompanos
indraft	indrafts
dad	dads|dadding
hansom	hansoms
uncertified	uncertifying
doyen	doyens
clastic	clastics
bimonthly	bimonthlies
inform	informed|informs|informing
footage	footages
overzeal	overzeals
cackler	cacklers
ticket	ticketing|tickets|ticketed
dumper	dumpers
bantling	bantlings
disposal	disposals
challenger	challengers
pulvinate	pulvinated
carousal	carousals
quadric	quadrics
nunnery	nunneries
gabbler	gabblers
vicar	vicars
regency	regencies
floozie	floozies
couloir	couloirs
footnote	footnotes|footnoted|footnoting
hophead	hopheads
wawl	wawled|wawls|wawling
picador	picadors
dowser	dowsers
terrarium	terrariums
tint	tints|tinting|tinted
outlawry	outlawries
toll	tolling|tolls|tolled
unseparated	unseparating|unseparate
woods	wooding|wood|wooded
gossip	gossips|gossipping|gossipped
bullfight	bullfights|bullfighting
saxophone	saxophones
misbelief	misbeliefs
misstatement	misstatements
jubilate	jubilates|jubilating|jubilated
frustule	frustules
sailing	sailed|sail|sails|sailings
afterwards	afterward
triumvir	triumvirs
bund	bunds
tony	tonies
serfhood	serfhoods
gryphon	gryphons
relieved	relieving|relieves|relieve
antilogarithm	antilogarithms
unconfined	unconfining|unconfine
leisure	leisures|leisured
lancelet	lancelets
unresisting	unresisted
amazing	amazed|amazes|amaze
disembark	disembarked|disembarking|disembarks
dace	daces
zee	zees
grinner	grinners
wire	wires|wired|wiring
cobwebbed	cobwebs|cobweb|cobwebbing
sweetbread	sweetbreads
inspire	inspires|inspired|inspiring
offertory	offertories
seraph	seraphim|seraphs
glycoside	glycosides
midnight	midnights
notation	notations
windpipe	windpipes
poignancy	poignancies
wedded	wedding|wed|weds
inarticulate	inarticulated
cameleer	cameleers
impregnate	impregnating|impregnates|impregnated
leak	leaked|leaks|leaking
hosiery	hosieries
doggy	doggies
whimsicality	whimsicalities
booth	booths
amen	amens
instar	instarring|instarred|instars
acclimatise	acclimatised|acclimatising
lancinating	lancinate|lancinated
barograph	barographs
brazen	brazens|brazened|brazening
monocrat	monocrats
summering	summerings|summer|summered|summers
monopolist	monopolists
aloha	alohas
overspent	overspends|overspending|overspend
pigmentation	pigmentations
vasectomy	vasectomies
lb	lbs
proprietary	proprietaries
beestings	beesting
chalk	chalking|chalked|chalks
glutton	gluttons
progenitor	progenitors
bramble	brambles|brambling|brambled
weeder	weeders
behold	beholding|beholds|beheld
decrial	decrials
sonnet	sonnets|sonneting|sonneted
oread	oreads
unimagined	unimagine
darned	darns|darn|darning
singing	sung|sing|sings
herniate	herniating|herniates|herniated
prices	priced|pricing|price
nance	nances
apsis	apses
rebaptize	rebaptized|rebaptizes|rebaptizing
reimport	reimports|reimporting|reimported
emblematize	emblematized|emblematizing
siege	sieges|sieged|sieging
lucubration	lucubrations
artilleryman	artillerymen
denomination	denominations
refugee	refugees
airman	airmen
rivulet	rivulets
denuclearized	denuclearizing|denuclearize|denuclearizes
