躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
觸	[xúc] ① Húc, đâm. ② Tiếp xúc, chạm biết. Phàm sự vật gì chạm sát nhau đều gọi là xúc. Như tiếp xúc ư nhĩ mục 接觸於耳目 tai nghe thấy, mắt trông thấy. ③ Lại sự vật gì nhiều lắm đều gọi là xúc. Như xúc xứ giai thị 觸處皆是 đâu đâu cũng thế. ④ Cảm xúc, nhân cớ đó mà động đến tâm mình đều gọi là xúc. Như xúc phát 觸發 cảm xúc phát ra. ⑤ Can phạm, như xúc huý 觸諱 xúc phạm chỗ kiêng, nói với làm trái nhau đều gọi là để xúc 抵觸.
覷	[thứ] ① Tục dùng như chữ thứ 覰.
襮	[bộc] ① Cổ áo. ② Bộc bạch ra, nêu tỏ.
襭	[hiệt] ① Đùm, lấy vạt áo đùm vật gì gọi là hiệt.
襬	[bi, bãi] ① Xiêm, đáy áo. Cũng đọc là chữ bãi.
襫	[thích] ① Bát thích 襏襫 áo vải dày, thứ vải may áo cho người lao động mặc.
襪	[miệt, vạt] ① Cái bí tất. Cũng đọc là chữ vạt.
蠙	[tân] ① Một tên riêng của con trai.
蠘	[tiệt] ① Một loài như con cua mà to, càng có răng.
蠖	[oách, hoạch] ① Xích oách 尺蠖 một loài sâu nhỏ hay ăn lá dâu, lá mơ. ② Oách khuất 蠖屈 tạm phải chịu lún, tạm chịu thua kém. Cũng đọc là chữ hoạch.
蠕	[nhuyễn] ① Nhuyễn nhuyễn 蠕蠕 một nước rợ ngày xưa, tức là đất Ngoại Mông bây giờ. ② Một âm là nhu ngọ nguậy, các giống chất mềm nhũn như con giun, con đỉa gọi là nhu hình động vật 蠕形動物.
蠔	[hào] ① Con hầu. Xem chữ lệ 蠣.
蠓	[mông] ① Con mối đất, một loài sâu đầu có lông như nhung, khi tạnh mưa thì bay lũ lượt ra, cũng gọi là miệt mông 蠛蠓.
蠑	[vinh] ① Vinh nguyên 蠑螈 con sam, một loài động vật con đực con cái ở chung không rời.
蠐	[tề] ① Tề tào 蠐螬. Xem chữ tào 螬.
蘑	[ma] ① Ma cô 蘑菰 một thứ nấm. Còn viết là 磨菇 hay 摩姑.
蘐	[huyên] ① Tục dùng như chữ huyên 萱.
蘋	[tần] ① Cỏ tần. Lá nó bốn cái chập làm một hình như chữ điền 田 nên lại gọi là điền tự thảo 田字草. Còn có tên là tứ diệp thái 四葉菜. ② Quả tần bà 蘋婆. Còn viết là 頻婆. Cũng có tên khác là phượng nhãn quả 鳳眼果.
蘊	[uẩn, uấn] ① Tích chứa, góp. ② Uẩn áo, sâu xa. Như tinh uẩn 精蘊. Tinh thần uẩn áo. ③ Giấu, cất. ④ Uất nóng. ⑤ Chất cỏ, dễ đốt lửa. ⑥ Nhà Phật 佛 cho năm môn sắc, thụ, tưởng, hành, thức 色受想行識 là ngũ uẩn 五蘊, nghĩa là năm môn ấy nó tích góp lại che lấp mất cả chân tính của người ta. ⑦ Một âm là uấn. Cùng nghĩa với chữ uấn 醞.
蘇	[tô] ① Tử tô 紫蘇 cây tía tô. ② Sống lại, đã chết rồi lại hồi lại gọi là tô. Tục gọi đang ngủ thức dậy là tô tỉnh 蘇醒. Ðang bị khốn khó mà được dễ chịu đều gọi là tô, như hậu lai kì tô 后來其蘇 (Thư Kinh 書經) sau lại sẽ được dễ chịu. ③ Kiếm cỏ. ④ Tên đất.
蘆	[lô] ① Cỏ lau, dùng chế mành mành và lợp nhà. ② Bồ lô một thứ rau ăn. ③ Một âm là la. Như la bặc 蘿菔. Xem chữ bặc 菔.
蘅	[hành] ① Ðỗ hành 杜蘅 một thứ cỏ thơm, rễ dùng làm thuốc.
蘄	[kì] ① Kì chỉ 蔪茝. Xem chữ chỉ 茝. ② Cầu. ③ Hàm thiết ngựa.
蘂	[nhị] ① Cũng như chữ nhị 蕊.
蘀	[thác] ① Bẹ cây, mo nang.
藿	[hoắc] ① Lá dâu. Vì thế nên ăn rau ăn dưa sơ sài gọi là hoắc. Nguyễn Du 阮攸: Khuông trung hà sở thịnh? Lê hoắc tạp tì khang 筐中何所盛，藜藿雜枇糠 (Sở kiến hành 所見行) Trong giỏ đựng gì lắm thế? Rau lê, hoắc lẫn cám. ② Hoắc hương 藿香 cây hoắc hương (Agastache rugosa), lá rất thơm, dùng làm thuốc.
藼	[huyên] ① Tục dùng như chữ huyên 萱.
藻	[tảo] ① Rong, rau bể, tên gọi tất cả các thứ cỏ mọc ở dưới nước. ② Rong là một thứ cỏ mọc dưới nước có văn vẻ đẹp, cổ nhân dùng để trang sức mũ áo cho đẹp, cho nên cái gì dùng làm văn sức đều gọi là tảo. Như từ tảo 詞藻 lời đẹp, cũng viết là 辭藻. Lấy lời tốt đẹp mà khen lao người gọi là tảo sức 藻飾. Bình luận nhân vật gọi là phẩm tảo 品藻 hay tảo giám 藻鑑.
藺	[lận] ① Cỏ lận, tức là cỏ cói, dùng để dệt chiếu. ② Họ Lận. Thời Chiến quốc 戰國 có Lận Tương Như 藺相如.
藹	[ái] ① Cây cối rậm rạp. ② Ái ái 藹藹 đầy rẫy, đông đúc hết sức. ③ Hoà nhã. Như ái nhiên khả thân 藹然可親 có vẻ vui vẻ đáng thân yêu.
藷	[thự] ① Cũng như chữ nhị 薯.
藶	[lịch] ① Ðình lịch 葶藶. Xem chữ đình 葶.
艨	[mông] ① Mông đồng 艨艟 thuyền trận, tàu chiến.
艦	[hạm] ① Tàu trận. Nay gọi quân đánh trên mặt bể là hạm đội 艦隊, tàu trận gọi là quân hạm 軍艦.
臛	[hoắc] ① Canh thịt. ② Hun, nung.
臚	[lư] ① Bày, xếp bày gọi là lư liệt 臚列. ② Truyền, trên truyền bảo dưới gọi là lư. Phép đời khoa cử thi đình xong, sáng sớm xướng danh các người đỗ gọi là truyền lư 傳臚. ③ Bụng trước.
臙	[yên] ① Cũng như chữ yên 胭.
耀	[diệu] ① Rọi sáng, sáng soi, sáng ở chỗ này soi tới chỗ kia gọi là diệu. ② Vẻ vang, rực rỡ, cái gì của mình được hưởng mà người khác lấy làm hâm mộ thèm thuồng là diệu.
翿	[đạo] ① Cái đao, một thứ làm bằng lông cầm để múa.
罌	[anh] ① Cái bình phình giữa, miệng nhỏ bụng to.
纂	[toản] ① Dây lụa đỏ, một thứ hàng dệt như dây thao mà đỏ. ② Biên tập sách vở.
纁	[huân] ① Sắc hoe hoe đỏ. ② Thứ lụa đỏ phơn phớt cũng gọi là huân.
繾	[khiển] ① Khiển quyển 繾綣 quyến luyến không rời nhau. Nguyên Chẩn 元稹: Lưu liên thời hữu hạn, khiển quyển ý nan chung 留連時有限，繾綣意難終 bên nhau thời ngắn ngủi, quyến luyến ý khôn cùng.
繽	[tân] ① Tân phân 繽紛 rực rỡ, rối loạn. Ðào Uyên Minh 陶淵明: Phương thảo tiên mĩ, lạc anh tân phân 芳草鮮美，落英繽紛 cỏ thơm tươi đẹp, hoa rụng rực rỡ.
繼	[kế] ① Nối theo, nối dõi. Như kế vị 繼位, kế thừa 繼承. ② Tiếp sau, tiếp theo, như kế nhi hữu sư mệnh 繼而有帥命 (Mạnh Tử 孟子) tiếp sau bèn có việc quân.
繻	[nhu] ① Lụa màu. ② Dấu hiệu, phép nhà binh đời xưa lấy lụa viết dấu hiệu riêng rồi xé làm hai mảnh, sai ai đi đâu thì giao cho một nửa để làm tin gọi là quân nhu 軍繻.
糰	[đoàn] ① Bột ăn, bánh bột.
籍	[tịch, tạ] ① Sách vở, sổ sách. Sách để ghi chép mọi sự cũng gọi là tịch. ② Quê ở, đời đời làm dân ở một chỗ gọi là dân tịch 民籍, vì đi buôn mà làm nhà ở một nơi khác gọi là thương tịch 商籍. Sổ chép số dân gọi là hộ tịch 戶籍. ③ Dẫm, xéo. Thửa ruộng nào vua thân chinh xéo xuống cày gọi là tịch điền 籍田. ④ Tịch tịch 籍籍 tiếng nói rầm rầm, người nào có tiếng trong đời gọi là tịch thậm đương thời 籍甚當時. ⑤ Tịch kí, nghĩa là bao nhiêu của cải đều biên vào sổ quan sung công cả. ⑥ Bừa bãi, như lang tịch 狼籍. Ta quen đọc là lang tạ. Nguyễn Du 阮攸: Lang tạ tàn hồng vô mịch xứ 狼籍殘紅無覓處 cánh hồng tàn rụng ngổn ngang, biết tìm đâu?
籌	[trù] ① Cái thẻ đếm (cái đồ để tính sổ). Ðánh cờ đánh bạc hơn nhau một nước gọi là lược thắng nhất trù 略勝一籌, cái dùng để ghi số chén rượu đã uống gọi là tửu trù 酒籌. Sách Thái bình ngự lãm 太平御覽 có chép truyện ba ông già gặp nhau, hỏi tuổi nhau, một ông già nói: Hải thuỷ biến tang điền, ngô triếp hạ nhất trù, kim mãn thập trù hĩ 海水變桑田，吾輒下一籌，今滿十籌矣 nghĩa là nước bể biến ra ruộng dâu, tôi bỏ một cái thẻ, nay vừa đầy mười cái thẻ rồi, tức là đúng một trăm tuổi. Vì thế chúc người thọ gọi là hải ốc thiêm trù 海屋添籌. ② Trù tính, toan tính. Bó tay không có một kế gì nữa gọi là nhất trù mạc triển 一籌莫展.
籃	[lam] ① Cái giỏ xách tay để đựng các đồ mua bán cho tiện (cái thùng có quai, cái làn).
簿	[bộ, bạc] ① Sổ sách, phàm những sách vở đặt ra để tùy thời ghi chép các sự vật đều gọi là bộ. ② Lỗ bộ 鹵簿 các nghi vệ hầu hạ. ③ Cái hốt. ④ Một âm là bạc. Cái liếp, cái né. Như tàm bạc 蠶簿 cái né tằm, cũng như chữ bạc 箔.
競	[cạnh] ① Mạnh, như hùng tâm cạnh khí 雄心競氣 tâm khí hùng mạnh. ② Ganh, như cạnh tranh 競爭 ganh đua.
礱	[lung] ① Cái cối xay.
礮	[pháo] ① Cái máy bắn đá, cái súng trái phá (đại bác).
礬	[phàn] ① Phèn. Có nhiều thứ phèn, thứ trắng gọi là minh phàn 明礬 hay bạch phàn 白礬 dùng để làm thuốc, để lọc nước, để nhuộm, dùng rất nhiều việc. Thứ xanh gọi là thanh phàn 青礬 cũng dùng để làm thuốc nhưng có độc. Thứ xanh lục gọi là tạo phàn 皂礬 hay thuỷ lục phàn 水綠礬, dùng để nhuộm màu đen.
礫	[lịch] ① Ðá vụn, đá sỏi. Liễu Tông Nguyên 柳宗元: Kì bàng đa nham đỗng, kì hạ đa bạch lịch 其旁多巖洞，其下多白礫 ở bên có nhiều núi cao hang động, ở dưới nhiều đá nhỏ sỏi trắng.
礪	[lệ] ① Ðá mài thô to.
礧	[lôi] ① Lăn đá từ trên cao xuống. ② Ðá lớn.
礦	[quáng] ① Quặng mỏ. Phàm vật gì lấy ở mỏ ra đều gọi là quáng, cũng dùng như chữ 鑛. Ta quen đọc là khuáng.
矑	[lô] ① Con ngươi mắt.
矍	[quắc] ① Sợ, nhớn nhơ nhớn nhác. ② Quắc thước 矍鑠 khỏe mạnh, người già mà sức vóc tinh thần còn khỏe mạnh gọi là quắc thước.
癧	[lịch] ① Lỗi lịch 瘰癧 chứng tràng nhạc, cổ có từng chùm nhọt như một tràng nhạc ngựa, có khi nó ăn lan cả xuống ngực xuống nách nên cũng gọi là lịch quán 癧串.
癥	[trưng] ① Bệnh hòn, trong bụng tích hòn rắn chắc ở một chỗ gọi là trưng 癥, tán tụ không được gọi là hà 瘕.
癢	[dưỡng, dạng] ① Ngứa. Ta quen đọc là chữ dạng.
瓏	[lung] ① Linh lung 玲瓏 tiếng ngọc kêu. ② Bóng lộn, đồ gì làm khéo léo gọi là linh lung.
獼	[mi, di] ① Mi hầu 獼猴 con khỉ lớn, con khỉ cái. Ta quen đọc là chữ di.
獻	[hiến] ① Dâng biểu. ② Người hiền, như văn hiến 文獻 sách vở văn chương của một đời nào hay của một người hiền nào còn lại để cho người xem mà biết được chuyện cũ.
犧	[hi] ① Con muông thuần sắc dùng để cúng tế gọi là hi. ② Vua Thang cầu mưa, tự phục trước miếu thay làm con muông để lễ, vì thế người ta gọi những người bỏ cả đời mình để làm cho đạt một sự gì là hi sinh 犧牲.
爥	[chúc] ① Cũng như chữ 燭.
爝	[tước] ① Bó đuốc.
爛	[lạn] ① Nát, chín quá. ② Thối nát. ③ Sáng, như xán lạn 燦爛 rực rỡ. ④ Bỏng lửa.
爚	[dược] ① Lửa lan ra. ② Nóng, chói loè.
爗	[diệp] ① Diệp diệp 爗爗 chói lói.
爐	[lô] ① Bếp lò.
瀾	[lan] ① Sóng cả. ② Nước gạo.
瀼	[nhương, nhưỡng] ① Nhương nhương 瀼瀼 móc sa đầm đìa. ② Một âm là nhưỡng. Nước ứ.
瀹	[thược] ① Nấu, như thược mính 瀹茗 nấu nước chè. ② Sơ thược 疏瀹 khơi đào (khơi sông cho thông)
瀲	[liễm] ① Xem chữ liễm 灩.
櫳	[long] ① Cửa mạch, cửa sổ. ② Cái lồng, cái cũi, nay thông dụng chữ lung 籠.
櫱	[nghiệt] ① Mầm cây, cây chặt rồi mầm lại trồi lên gọi là nghiệt.
櫬	[sấn] ① Cái áo quan.
櫫	[trư] ① Cái cọc buộc súc vật. ② Yết trư 揭櫫 cắm nêu.
櫪	[lịch] ① Chuồng ngựa.
櫨	[lô] ① Cái đấu kê cột đội. ② Hoàng lô 黃櫨 cây hoàng lô.
朧	[lông] ① Mông lông 朦朧 lờ mờ, lúc mặt trăng sắp lặn.
曨	[lông] ① Ðồng lông 曈曨 mặt trời mới mọc (mờ sáng). ② Mông lông 曚曨 mù mịt, lúc mặt trời chưa mọc.
曦	[hi] ① Sắc mặt trời, ánh sáng mặt trời.
斕	[lan] ① Ban lan 斒斕 sặc sỡ.
攙	[sam] ① Keo dắt, nâng đỡ. ② Bỏ lẫn lộn.
攘	[nhương, nhưỡng] ① Lõng bắt lấy, ăn trộm. ② Ðẩy ra, đuổi đi được. ③ Trừ. ④ Hàm nhẫn được. ⑤ Một âm là nhưỡng. Rối loạn. ⑥ Cùng nghĩa như chữ nhưỡng 禳.
攖	[anh, oanh] ① Chạm tới, đến gần, như anh nộ 攖怒 chọc giận. ② Mắc, vướng, như anh hại 攖害 mắc hại, anh hoạ 攖禍 mắc vạ, v.v. ③ Một âm là oanh. Buộc, chằng buộc.
攔	[lan] ① Ngăn.
斆	[hiệu] ① Dạy, giác ngộ cho.
懺	[sám] ① Ăn năn, tự thú tội ra để xin sửa đổi gọi là sám hối 懺悔. ② Kinh của nhà sư làm lễ cầu cũng gọi là sám, tục gọi là bái sám 拜懺. Phép lễ sám hối gọi là sám pháp 懺法.
寶	[bảo] ① Báu, phàm vật gì quý đều gọi là bảo cả. ② Cái ấn, con dấu. Các vua đời xưa dùng ngọc khuê ngọc bích làm cái ấn cái dấu. Nhà Tần gọi là tỉ 璽, nhà Ðường lại đổi là bảo 寶. ③ Tiền tệ cũng gọi là bảo. Như nguyên bảo 元寶 nén bạc, thông bảo 通寶 đồng tiền, v.v. Tục viết là 寳.
寵	[sủng] ① Yêu, ân huệ, vẻ vang. ② Tục gọi vợ lẽ là sủng, nên lấy vợ lẽ gọi là nạp sủng 納寵.
孽	[nghiệt] ① Ngày xưa dùng như chữ 孹. (Tồn nghi: Unicode xếp hai chữ này vào bộ 39 tử 子)
孼	[nghiệt] ① Con vợ lẽ nàng hầu. ② Yêu hại. Loài yêu về sâu bọ gọi là nghiệt. Bây giờ thường gọi các vật quái là yêu nghiệt 妖孽. Nhân xấu, như tác nghiệt 作孽 làm ra cái nhân tai vạ. Tục thường viết là 孽.
孃	[nương] ① Xem chữ nương 娘.
孀	[sương] ① Ở goá, đàn bà goá.
壤	[nhưỡng] ① Ðất mềm. ② Quả đất, như thiên nhưỡng 天壤 trời đất. ③ Giàu có đầy đủ, cùng nghĩa như chữ nhưỡng 攘. ④ Bị hại.
嚼	[tước] ① Nhấm, nhai.
嚷	[nhượng] ① Dức lác, ầm ỹ.
嚶	[anh] ① Anh anh 嚶嚶 tiếng chim kêu.
嚴	[nghiêm] ① Nghiêm, có cái oai nghi đáng sợ. ② Sợ. ③ Nghiêm ngặt, như cẩn nghiêm 謹嚴, nghiêm mật 嚴密, v.v. ④ Nghiêm phong, giặc đến phải phòng bị kĩ gọi là giới nghiêm 戒嚴, giặc lui lại thôi gọi là giải nghiêm 解嚴. ⑤ Dữ lắm, như nghiêm sương 嚴霜 sương xuống buốt dữ, nghiêm hàn 嚴寒 rét dữ, v.v. ⑥ Tôn kính, như tục gọi bố là nghiêm, như gia nghiêm 家嚴, cha tôi, nghiêm mệnh 嚴命 mệnh cha, v.v. ⑦ Hành trang.
嚳	[khốc] ① Vội bảo (báo cấp). ② Tên vua đời xưa, tức là họ Cao-Tân.
嚲	[đả] ① Tả cái dáng lả xuống, rủ xuống.
嚱	[hi] ① Ô hi 嗚嚱 than ôi!
儵	[thúc] ① Cũng như chữ 倏.
立	[lập] ① Ðứng thẳng. ② Gây dựng, như lập đức 立德 gây dựng nên đức tốt cho người theo sau. ③ Nên, như phàm sự dự tắc lập 凡事豫則立 phàm việc gì có dự bị sẵn mới nên. Có cái tài đức nghề nghiệp thông thường để tự nuôi lấy mình gọi là thành lập 成立. ④ Ðặt để. ⑤ Lên ngôi. ⑥ Lập tức (ngay lập tức), lập khắc. ⑦ Toàn khối, như lập phương 立方 vuông đứng, một vật gì vuông mà tính cả ngang dọc cao thấp gọi là lập phương.
穴	[huyệt] ① Hang, ngày xưa đào hang ở gọi là huyệt cư 穴居. ② Cái lỗ, các chỗ quan hệ ở thân thể người cũng gọi là huyệt. ③ Huyệt, hố để mả. Ta gọi đào hố chôn xác là đào huyệt. ④ Ðào. ⑤ Bên.
禾	[hoà] ① Lúa, lúa chưa cắt rơm rạ đi gọi là hoà.
禸	[nhựu] ① Vết ngón chân giống thú dẫm xuống đất.
示	[kì, thị] ① Thần đất, cùng nghĩa với chữ kì 祇. ② Một âm là thị. Bảo cho biết, mách bảo. Nay thường viết là 礻.
石	[thạch] ① Ðá. ② Thạch (tạ), đong thì 100 thưng gọi là một thạch, cân thì 120 cân gọi là một thạch. ③ Các thứ như bia, mốc đều gọi là thạch, khảo về các văn tự ở chuông, đỉnh, bia, mốc gọi là kim thạch chi học 金石之學. ④ Cái gì không dùng được cũng gọi là thạch, như thạch điền 石田 ruộng không cầy cấy được, 'thạch nữ 石女 con gái không đủ bộ sinh đẻ. ⑤ Tiếng thạch, một tiếng trong bát âm. ⑥ Thuốc chữa, dùng đá để tiêm vào người chữa bệnh. ⑦ Bắn đá ra. ⑧ Lớn, bền.
矢	[thỉ] ① Cái tên. ② Thề. Nghĩa như phát thệ 發誓. ③ Nguyên là chữ thỉ 屎 cứt (phân). Liêm tướng quân tuy lão, thượng thiện phạn, nhiên dữ thần toạ, khoảnh chi, tam di thỉ hĩ 廉將軍雖老，尚善飯，然與臣坐，頃之，三遺矢矣 (Sử Kí 史記, Liêm Pha Lạn Tương Như truyện 廉頗藺相如傳) Liêm tướng quân tuy già nhưng ăn còn khỏe. Có điều ngồi với tôi một lúc mà bỏ đi đại tiện đến ba lần. ④ Bầy. ⑤ Thi hành ra. ⑥ Chính, chính trực.
矛	[mâu] ① Cái giáo, một thứ đồ binh cán dài có mũi nhọn. ② Nói năng tự trái ngược nhau gọi là mâu thuẫn 矛盾.
目	[mục] ① Con mắt. ② Lườm, nhìn kĩ (trố mắt nhìn). ③ Khen, danh mục 名目 được người khen. ④ Phẩm đề, như mục chi vi thần phẩm 目之爲神品 khen là cái phẩm thần, nghĩa là bình phẩm cho là quý lạ. ⑤ Ðiều kiện, như khoa thi lấy học trò chia ra từng điều kiện gọi là khoa mục 科目. ⑥ Chia từng ngăn như trong cái lưới, ngoài giường lưới gọi là cương 綱, những mắt dây nhỏ gọi là mục 目. Nói ví dụ về sự lớn nhỏ cùng ràng buộc nhau gọi là hoành cương tế mục 宏綱細目. ⑦ Mục lục, trên đầu sách liệt kê các mục trong sách gọi là mục lục 目錄. ⑧ Một người thống suất một số đông người gọi là đầu mục 頭目. ⑨ Chỗ tinh thần thiết yếu.
皿	[mãnh] ① Ðồ, các đồ bát đĩa đều gọi là mãnh. ② Các đồ dùng để đựng đồ vật gì.
皮	[bì] ① Da. ② Da giống thú còn có lông gọi là bì 皮, không có lông gọi là cách 革. ③ Bề ngoài, như bì tướng 皮相 chỉ có bề ngoài. ④ Cái đích tập bắn.
白	[bạch] ① Sắc trắng. ② Sạch, như thanh bạch 清白 trong sạch. ③ Sáng, như đông phương kí bạch 東方既白 trời đã rạng đông. ④ Ðã minh bạch, như kì oan dĩ bạch 其冤已白 nỗi oan đã tỏ. ⑤ Trình bày, kẻ dưới thưa với người trên gọi là bạch. ⑥ Chén rượu, như phù nhất đại bạch 浮一大白 uống cạn một chén lớn. ⑦ Trắng không, sách không có chữ gọi là bạch quyển 白卷. ⑧ Nói đơn sơ, như bạch thoại 白話 lối văn nói đơn sơ dễ hiểu.
癶	[bát] ① Gạt ra, đạp.
疒	[nạch] ① Tật bệnh.
疋	[sơ, nhã, thất] ① Ðủ, tràn. ② Một âm là nhã. Chính, ngày xưa dùng như chữ nhã 雅. ③ Lại một âm là thất. Nếp, xếp, vải lụa gấp lại, mỗi nếp gọi là nhất thất 一疋.
申	[thân] ① Chi thân, một chi trong mười hai chi. Từ 3 giờ chiều đến năm giờ chiều gọi là giờ thân. ② Lại, như thân thuyết 申說 nói lại. ③ Ðến, như phụng thân phỉ kính 奉申菲敬 kính dâng lễ mọn. ④ Duỗi, cùng nghĩa với chữ thân 伸. ⑤ Hàng đầu các văn thư nhà quan gọi là thân. ⑥ Bạc kém phân phải chịu tiền pha thêm cho đúng số bạc gọi là thân thuỷ 申水. ⑦ Tên đất. ⑧ Bầy tỏ, như thân lí 申理 người bị oan ức bày tỏ lí do để kêu oan.
甲	[giáp] ① Can Giáp, một can đầu trong mười can. Ngày xưa lấy mười can kể lần lượt, cho nên cái gì hơn hết cả đều gọi là giáp, như phú giáp nhất hương 富甲一鄉 giầu nhất một làng. ② Dùng làm chữ nói thay ngôi (đại từ). Như anh giáp, anh ất, phần giáp, phần ất. Phàm không biết rõ là ai thì mượn chữ ấy làm cái tên mà gọi thay cho có chỗ mà so sánh. ③ Ðời khoa cử, thi tiến sĩ lấy nhất giáp 一甲, nhị giáp 二甲, tam giáp 三甲 để chia hơn kém. Cho nên bảng tiến sĩ gọi là giáp bảng 甲榜. Nhất giáp chỉ có ba bực: (1) Trạng nguyên 狀元, (2) Bảng nhãn 榜眼, Thám hoa 探花 gọi là đỉnh giáp 鼎甲. ④ Áo giáp (áo dày). ⑤ Mai, như quy giáp 龜甲 mai rùa. ⑥ Bảo giáp 保甲 kê tra các nhà các nhân xuất để cho cùng dò xét nhau mà phòng bị các quân gian phi ẩn núp. Mười nhà gọi là một giáp.
由	[do] ① Bởi, tự. ② Noi theo. ③ Nguyên do, nguyên nhân của một sự gì gọi là do, như tình do 情由, lí do 理由, v.v. Nộp thuế có giấy biên lai gọi là do đơn 由單. Trích lấy các phần đại khái ở trong văn thư gọi là trích do 摘由. ④ Chưng. ⑤ Dùng. ⑥ Cùng nghĩa với chữ do 猶.
田	[điền] ① Ruộng đất cầy cấy được gọi là điền. ② Ði săn. ③ Trống lớn.
用	[dụng] ① Công dùng, đối lại với chữ thể 體. Về phần bản năng của sự vật gọi là thể 體, đem thi hành ra sự nghiệp gọi là dụng 用. Như công dụng 功用 công dụng, tác dụng 作用 làm dùng. ② Dùng, sai khiến. Như dụng nhân hành chánh 用人行政 dùng người làm chánh. ③ Của dùng, tài chánh của nhà nước gọi là quốc dụng 國用. ④ Ðồ dùng. ⑤ Nhờ vào cái gì để động tác làm lụng gọi là dụng, như dụng tâm 用心, dụng lực 用力, động dụng 動用, v.v. ⑥ Dùng làm trợ từ, nghĩa là lấy, là bèn, là chưng ấy.
生	[sanh, sinh] ① Sống, đối lại với tử 死. ② Còn sống, như bình sanh 平生 lúc ngày thường còn sống, thử sanh 此生 đời này, v.v. ③ Những vật có sống, như chúng sanh 眾生, quần sanh 群生 đều là nói các loài có sống cả. ④ Sinh sản, nẩy nở, như sanh tử 生子 đẻ con, sinh lợi 生利 sinh lời, v.v. ⑤ Nuôi, những đồ để nuôi sống đều gọi là sanh. Như sanh kế 生計 các kế để nuôi sống. ⑥ Sống, chưa chín gọi là sanh, làm việc không có kinh nghiệm gọi là sanh thủ 生手, khách không quen thuộc gọi là sanh khách 生客 (khách lạ), v.v. ⑦ Học trò, như tiên sanh 先生 ông thầy, nghĩa là người học trước mình, hậu sanh 後生 học trò, nghĩa là người sinh sau, v.v. Thầy gọi học trò là sanh, học trò cũng tự xưng mình là sanh. ⑧ Dùng như chữ mạt 末. ⑨ Dùng làm tiếng đệm. ⑩ Tiếng dùng trong tấn tuồng. Ta quen đọc là chữ sinh.
甘	[cam] ① Ngọt. ② Phàm đồ ăn gì ngon đều gọi là cam. ③ Cam tâm, cam chịu. Như cam vi nhân hạ 甘為人下 cam tâm làm dưới người. ④ Lời nói ngọt, lời nói nghe thích tai. ⑤ Thích. ⑥ Ngủ say.
