opener	openers
overrode	overriding|overrides|override|overridden
aftershock	aftershocks
unnerved	unnerve|unnerving|unnerves
unfeudalize	unfeudalizing|unfeudalized
insurer	insurers
pigtail	pigtails|pigtailed
telepathy	telepathies
arcadian	arcadians
coast	coasts|coasting|coasted
pushover	pushovers
shouting	shout|shouts|shouted
krill	krills
giglet	giglets
tankful	tankfuls
meditation	meditations
dishearten	disheartening|disheartens|disheartened
quaker	quakers
internality	internalities
embroidery	embroideries
nomogram	nomograms
dss	ds
frank	franked|franks|franking
dumping	dump|dumps|dumpings|dumped
art	arts
athletics	athletic
masker	maskers
phlebotomise	phlebotomised|phlebotomising
perished	perish|perishing|perishes
de	des|ding
owlet	owlets
uncovered	uncover|uncovering|uncovers
sepal	sepals|sepalled
polyclinic	polyclinics
parge	parged|parging|parges
bluestocking	bluestockings
skier	skiers
unfermented	unfermenting
beep	beeps|beeped|beeping
chert	cherts
persecute	persecuting|persecutes|persecuted
plumbism	plumbisms
werewolf	werewolves
factorization	factorizations
authenticator	authenticators
nascency	nascencies
towel	towelled|towelling|towels
schoolfellow	schoolfellows
nut	nuts|nutting|nutted
carnation	carnations|carnationed
stray	straying|strayed|strays
rareripe	rareripes
mastabah	mastabahs
vitaminize	vitaminized|vitaminizing
harelipped	harelips|harelip
aorta	aortas
pollack	pollacks
footpad	footpads
pronunciamento	pronunciamentos
pressrun	pressruns
password	passwords
pollard	pollarded|pollarding|pollards
tuberculise	tuberculised|tuberculising
itemization	itemizations
portico	porticoes|porticoed|porticos
lights	lighted|light|lighting
mamba	mambas
surveyor	surveyors
trichinoses	trichinosed
draper	drapers
dossal	dossals
hospitalize	hospitalizes|hospitalizing|hospitalized
jeremiad	jeremiads
toughie	toughies
trichinize	trichinizing|trichinized
lobulate	lobulated
secrecy	secrecies
storage	storages
counter	countering|counters|countered
restructure	restructures|restructured|restructuring
recognizer	recognizers
seizing	seized|seizes|seizings|seize
boxful	boxfuls
yawl	yawled|yawls|yawling
prostatectomy	prostatectomies
signature	signaturing|signatures|signatured
yelp	yelps|yelping|yelped
epithet	epithets
consanguinity	consanguinities
growl	growling|growls|growled
sop	sops|sopped|sopping
enlightener	enlighteners
disinclination	disinclinations
connective	connectives
appeasement	appeasements
soliloquise	soliloquising|soliloquised
scantling	scantlings|scantle
garfish	garfishes
wraps	wrapped
lay	layed|lays|laying
regret	regrets|regretted|regretting
geriatric	geriatrics
parishioner	parishioners
disembogue	disemboguing|disembogued
lather	lathers|lathering|lathered
dupery	duperies
bestow	bestows|bestowed|bestowing
pensioner	pensioners
receptionist	receptionists
outnumber	outnumbered|outnumbering|outnumbers
interlocutress	interlocutresses
distrust	distrusts|distrusting|distrusted
moron	morons
tootsy	tootsies
goodman	goodmen
bath	baths|bathed
baldness	baldnesses
monument	monuments|monumented|monumenting
ow	owed|owing
peso	pesos
disharmonize	disharmonized|disharmonizing
butyl	butyls
poisoner	poisoners
timbal	timbals
steamboat	steamboats|steamboating
blooded	bloods|blood|blooding
toponym	toponyms
basket	baskets
upheave	upheaving|upheaved|upheaves
ringlet	ringlets
speedometer	speedometers
matte	matted|mattes|matting
zoning	zones|zoned|zone
analog	analogs
advise	advises|advised|advising
was	am|weren't|were|been|wasn't|aren't|are|isn't|is|being|be
bechance	bechancing|bechances|bechanced
batrachian	batrachians
shire	shires
undoubting	undoubted
giver	givers
cashier	cashiering|cashiers|cashiered
saxophone	saxophones
rooted	root|roots|rooting
sheathing	sheathes|sheathed|sheathe
khat	khats
appraise	appraising|appraises|appraised
meekness	meeknesses
visa	visas|visaing|visaed
dermatology	dermatologies
exocarp	exocarps
overelaborate	overelaborates|overelaborating|overelaborated
providing	provided|provides|provide
subtenant	subtenants
spyglass	spyglasses
obligation	obligations
calorifics	calorific
superelevate	superelevated
nativism	nativisms
evanish	evanishes|evanished|evanishing
camera	cameras
debouch	debouches|debouched|debouching
deprivation	deprivations
dominican	dominicans
cock	cocks|cocked|cocking
externals	external
strap	straps|strapping|strapped
sexist	sexists
broken	breaking|breaks|broke|break
noisettes	noisette
hydrofoil	hydrofoils
florentine	florentines
kinesis	kineses
fuel	fuelled|fuels|fuelling
accession	accessions|accessioning|accessioned
mislaid	mislaying|mislay|mislays
mansard	mansards|mansarded
warragal	warragals
tibia	tibias
bestiality	bestialities
unrequested	unrequest
transmittance	transmittances
contracts	contract|contracting|contracted
transgress	transgressing|transgressed|transgresses
glitter	glittered|glitters|glittering
overtask	overtasked|overtasks|overtasking
geoponic	geoponics
stammer	stammers|stammered|stammering
unkennel	unkennels|unkenneling|unkenneled
illinium	illiniums
storehouse	storehouses
crossarm	crossarms
slaver	slavers|slavered|slavering
crawfish	crawfishes|crawfishing|crawfished
gambler	gamblers
swept	sweep|sweeping|sweeps
tony	tonies
extrovert	extroverts|extroverted
carding	cards|carded|card|cardings
tommy	tommies
transpose	transposed|transposes|transposing
bullfight	bullfights|bullfighting
satrap	satraps
mantelpiece	mantelpieces
lamps	lamped|lamp|lamping
diffraction	diffractions
symbiont	symbionts
dialysis	dialyses
brokerage	brokerages
whistle	whistles|whistled|whistling
haw	hawed|hawing|haws
lithographer	lithographers
mall	malled|malling|malls
carbide	carbides
tomahawk	tomahawks|tomahawking|tomahawked
hydrate	hydrating|hydrated|hydrates
domesticate	domesticating|domesticated|domesticates
segmented	segmenting|segment|segments
hartebeest	hartebeests
staddle	staddles|staddling
pools	pooled|pooling|pool
rheology	rheologies
binge	binges
hair	hairs|haired
safeness	safenesses
eschar	eschars
knave	knaves
slaughtering	slaughters|slaughtered|slaughter
tory	tories
celebrated	celebrating|celebrate|celebrates
cottar	cottars
uniformise	uniformised|uniformising
monotony	monotonies
instiller	instillers
footprint	footprints
godson	godsons
calling	call|called|callings|calls
volcanologist	volcanologists
thimblerig	thimblerigging|thimblerigged
innocency	innocencies
rockies	rocky
discotheque	discotheques
toxemia	toxemias
melodramatise	melodramatising|melodramatised
dale	dales
scuffing	scuff|scuffs|scuffed
banana	bananas
trail	trailed|trails|trailing
stadia	stadias
blackhead	blackheads
uncovering	uncover|uncovered|uncovers
moth	moths|mothed
kneecapping	kneecappings|kneecap|kneecaps
syndication	syndications
slapping	slaps|slap|slapped
artillerist	artillerists
teal	teals
swastica	swasticas
pleader	pleaders
dialyse	dialysed|dialyses|dialysing
hemlock	hemlocks
trivet	trivets
anonymity	anonymities
offense	offenses
bloated	bloating|bloats|bloat
cartomancy	cartomancies
axilla	axillas
eyre	eyres
rendition	renditions
coercion	coercions
dissected	dissect|dissecting|dissects
fisted	fist|fists|fisting
downtown	downtowns
thwart	thwarted|thwarting|thwarts
check	checks|checked|checking
fives	five
curiosity	curiosities
moonshot	moonshots
synthesis	syntheses
whiten	whitening|whitens|whitened
parallel	parallelling|parallels|parallelled
protein	proteins
servicing	services|service|serviced
foodstuff	foodstuffs
triplane	triplanes
dispersion	dispersions
pharmacy	pharmacies
wearies	wearying|wearied|weary
hector	hectors|hectoring|hectored
amends	amended|amend|amending
backpack	backpacking|backpacks|backpacked
chandlery	chandleries
unencumbered	unencumber
pooch	pooches
hamster	hamsters
saw	sees|saws|seen|see|seeing
mushroom	mushroomed|mushrooming|mushrooms
mandarine	mandarining|mandarined
execrate	execrates|execrated|execrating
regurgitation	regurgitations
posture	postures|postured|posturing
parabolise	parabolising|parabolised
sundown	sundowns|sundowning
officialize	officialized|officializing
guildsman	guildsmen
overring	overs|over
riddle	riddles|riddled|riddling
eructate	eructed|eructing|eructates|eructs
rounded	rounding|rounds|round
ingrain	ingrains|ingrained|ingraining
chaser	chasers
reimburse	reimbursing|reimbursed|reimburses
cough	coughing|coughed|coughs
settlor	settlors
exhilarating	exhilarated|exhilarate|exhilarates
inconnu	inconnus
outfall	outfalls
adventurer	adventurers
headache	headaches
panjandrum	panjandrums
cordwain	cordwains
rayah	rayahs
raphia	raphias
cutwater	cutwaters
suckfish	suckfishes
sprue	sprues
integer	integers
transport	transported|transports|transporting
hydroponic	hydroponics
repolish	repolishes|repolished|repolishing
iris	irides
sawing	saws|sawings|sawed|saw|sawn
indene	indenes
quivered	quivers|quivering|quiver
rectification	rectifications
dice	dices|dicing|diced
hospitalization	hospitalizations
headstone	headstones
dwell	dwelt|dwells|dwelling
subcategory	subcategories
remembrance	remembrances
sphragistics	sphragistic
fumigate	fumigates|fumigating|fumigated
overcrowded	overcrowd|overcrowding|overcrowds
malison	malisons
snobbery	snobberies
warring	wars|warred|war
ethylene	ethylenes
migrator	migrators
monopoly	monopolies
undone	undid|undo|undoes|undoing
harry	harried|harries|harrying
economies	economy
reinstall	reinstalling|reinstalled|reinstalls
moonscape	moonscapes
genitals	genital
lowbrow	lowbrows
defeasance	defeasanced
measure	measured|measures|measuring
disincorporate	disincorporating|disincorporated
woad	woads|woaded
dignified	dignifying|dignifies|dignify
sometime	sometimes
polycot	polycots
ejective	ejectives
choline	cholines
excavation	excavations
graining	grains|grain|grained
sunward	sunwards
antiquated	antiquate|antiquating|antiquates
martyrize	martyrized|martyrizing
comstockery	comstockeries
gorget	gorgets
claymore	claymores
foremilk	foremilks
shelled	shells|shelling|shell
hind	hinds
ricotta	ricottas
tusker	tuskers
splining	splined|spline|splines
unclose	unclosing|unclosed|uncloses
broadloom	broadlooms
gabled	gabling|gable|gables
timbered	timber|timbering|timbers
crore	crores
unelaborate	unelaborated
auburn	auburns
ramified	ramifying|ramifies|ramify
casa	casas
rutabaga	rutabagas
proffer	proffering|proffers|proffered
visite	visiting|visited
pear	pears
shadow	shadowed|shadows|shadowing
significant	significants
privity	privities
weighted	weights|weighting|weight
quiche	quiches
disorganise	disorganised|disorganising
subdual	subduals
ensanguine	ensanguining|ensanguined
foretold	foretell|foretells|foretelling
convent	conventing|convents|convented
sinkhole	sinkholes
fustigate	fustigated|fustigating
articulated	articulates|articulating|articulate
modernizer	modernizers
incompatible	incompatibles
tawny	tawnies
inosculate	inosculated|inosculating
obliger	obligers
stridor	stridors
prolepsis	prolepses
lentil	lentils
rooting	root|roots|rooted
pumice	pumices|pumicing|pumiced
steepled	steeples|steeple
resuscitate	resuscitated|resuscitating|resuscitates
atmospheric	atmospherics
osculating	osculate|osculated|osculates
acerbity	acerbities
phon	phons
uplift	uplifted|uplifting|uplifts
maturity	maturities
armchair	armchairs|armchaired
devilry	devilries
syllabub	syllabubs
juniper	junipers
orphrey	orphreys|orphreyed
usury	usuries
racehorse	racehorses
unwelcomed	unwelcoming|unwelcome
smut	smutting|smutted|smuts
demy	demies
supernaturalise	supernaturalised|supernaturalising
welt	welting|welted|welts
defrayal	defrayals
mocker	mockers
rose	rises|roses|rise|risen|rising
talapoin	talapoins
hardy	hardies
jiffy	jiffies
abbess	abbes|abbesses
conformer	conformers
bookplate	bookplates
hygiene	hygienes
cultured	cultures|culture|culturing
rowan	rowans
cholera	choleras
zircon	zircons
midterm	midterms
mooncalf	mooncalves
peccancy	peccancies
pixel	pixels
quint	quints
duiker	duikers
underfed	underfeed|underfeeds|underfeeding
deprecation	deprecations
cupola	cupolas|cupolaing|cupolaed
lover	lovers
broadening	broadened|broadenings|broaden|broadens
girdle	girdling|girdled|girdles
targe	targes|targed|targing
crozier	croziers
readjustment	readjustments
aerolitic	aerolitics
educable	educables
disillusionment	disillusionments
arcading	arcadings|arcades|arcaded|arcade
implant	implanted|implanting|implants
catacomb	catacombs
outrange	outranges|outranging|outranged
atony	atonies
hotspur	hotspurred|hotspurs
tup	tupped|tupping|tups
footing	footed|foots|foot|footings
darter	darters
cryogenic	cryogenics
existentialist	existentialists
globalist	globalists
sty	stied|sties|stying
quip	quips|quipped|quipping
datum	data|datums
equalizer	equalizers
gaff	gaffs|gaffing|gaffed
hoax	hoaxed|hoaxing|hoaxes
tallness	tallnesses
unconfirmed	unconfirming|unconfirm
zonate	zonated
grapes	grape|graped|graping
assuming	assume|assumes|assumed
superjet	superjets
peter	petering|peters|petered
defining	define|defines|defined
reprogramming	reprogram|reprograms|reprogrammed
exserted	exserts|exserting|exsert
ecclesiastic	ecclesiastics
concretize	concretizing|concretized
goofball	goofballs
dulcify	dulcified|dulcifies|dulcifying
criticize	criticizing|criticizes|criticized
divide	divided|divides|dividing
chippings	chipping
spun	spins|spin|spinning
truant	truanting|truants|truanted
transcription	transcriptions
foreigner	foreigners
piked	pike|piking|pikes
busybody	busybodies|busybodied
imp	imps|imping|imped
hyaline	hyalines
nutmeg	nutmegged|nutmegs
reflect	reflecting|reflects|reflected
neatness	neatnesses
contuse	contuses|contused|contusing
bazaar	bazaars
sniveler	snivelers
electrify	electrifies|electrified|electrifying
disenthrone	disenthroned|disenthroning
googly	googlies
uncontrolled	uncontrolling|uncontrol
unedifying	unedified
yean	yeans|yeaning|yeaned
mock	mocking|mocks|mocked
router	routers
sycamore	sycamores
cahier	cahiers
sigillate	sigillated
autumn	autumns
blazonry	blazonries
periodontics	periodontic
browbeaten	browbeat|browbeats|browbeating
twinge	twinging|twinges|twinged
wowser	wowsers
lynx	lynxes
artwork	artworks
walnut	walnuts
maim	maims|maiming|maimed
exogamy	exogamies
wampum	wampums
geminate	geminated|geminates|geminating
commercialist	commercialists
trouvaille	trouvailles
banking	banked|bankings|draft|drafts
bawbee	bawbees
unsay	unsaid|unsaying|unsays
joe	joes
coaxing	coaxed|coaxes|coax
regionalize	regionalized|regionalizing
amplitude	amplitudes
pneumectomy	pneumectomies
virginals	virginal
cosher	coshers|coshered|coshering
skyed	sky|skies|skied|skying
approval	approvals
doxy	doxies
landholding	landholdings|landhold
deferent	deferents
texture	textured|textures|texturing
pokey	pokeys
superadd	superadds|superadding|superadded
handwork	handworks|handworked
pest	pests
reformat	reformatting|reformats|reformatted
spokesman	spokesmen
esterify	esterifies|esterified|esterifying
saccade	saccades
gluing	glues|glued|glue
handoff	handoffs
unmerited	unmeriting
gammon	gammons|gammoned|gammoning
microcosm	microcosms
multiprocessor	multiprocessors
koala	koalas
clawed	claws|claw|clawing
purpose	purposed|purposes|purposing
uninspiring	uninspired
unworthy	unworthies
greenback	greenbacks
roundhead	roundheaded
polype	polyped
comforts	comforting|comforted|comfort
foe	foes
manufactory	manufactories
fei	feis
colonial	colonials
pulper	pulpers
cardiology	cardiologies
crackpot	crackpots
dermatoglyphics	dermatoglyphic
let	lets|letting
magenta	magentas
excavate	excavates|excavating|excavated
accoucheur	accoucheurs
quetzal	quetzals
neutral	neutrals
vivisectionist	vivisectionists
churinga	churingas
hoarder	hoarders
loris	lori
technics	technic
jagger	jaggers
specie	species
becalmed	becalms|becalming|becalm
catastrophe	catastrophes
glyptics	glyptic
arse	arses
regime	regimes
azote	azoted|azotes
instigator	instigators
pappy	pappies
isomerize	isomerized|isomerizing
slovak	slovaks
schemer	schemers
undoer	undoers
trimer	trimers
hetero	heteros
blithering	blithers|blither
swagger	swaggers|swaggering|swaggered
lupine	lupines
torture	torturing|tortures|tortured
domination	dominations
felloe	felloes
maiden	maidens
sometimes	sometime
narwhal	narwhals
preconception	preconceptions
tappet	tappets
whirlpool	whirlpools
ancien	anciens
stifled	stifling|stifles|stifle
unpeopled	unpeoples|unpeople|unpeopling
wefted	wefts|weft
tb	tbs
bridal	bridals
jure	juring
hominoid	hominoids
untendered	untender
militarise	militarised|militarising
midday	middays
olio	olios
corollate	corollated
abutting	abutted|abut|abuts
unrelated	unrelating
beatitude	beatitudes
moult	moulting|moults|moulted
platonics	platonic
regression	regressions
unelucidated	unelucidating
wrongdoing	wrongdo
clamper	clampers
clarion	clarions|clarioned|clarioning
salient	salients
exurb	exurbs
penciled	penciling
retainer	retainers
flinger	flingers
funnelled	funnels|funnelling|funnel
microfiche	microfiches
benzoin	benzoins
diaphysis	diaphyses
lecher	lechers
unscratched	unscratching
scurvied	scurvy|scurvies
spoilt	spoil|spoiling|spoils
pediment	pedimented|pediments
goy	goyim|goys
fatalist	fatalists
barbarise	barbarising|barbarised
detainer	detainers
enfant	enfants
backwoods	backwood
inning	innings|inn|inns|inned
crib	cribbing|cribs|cribbed
planning	planned|plans|plannings|plan
noetics	noetic
flossy	flossies
patenting	patent|patents|patented
chilblain	chilblains|chilblained
quantification	quantifications
bother	bothering|bothered|bothers
moil	moiled|moiling|moils
politics	politicking|politicked|politic
torero	toreros
mode	modes
tetrode	tetrodes
coney	coneys
argala	argalas
bubble	bubbling|bubbles|bubbled
papistry	papistries
loader	loaders
reannex	reannexed|reannexes|reannexing
prettifier	prettifiers
cook	cooking|cooks|cooked
reporter	reporters
oversea	overseas
waver	wavering|wavers|wavered
mending	mend|mends|mendings|mended
unsolaced	unsolacing
laggard	laggards
palterer	palterers
buffered	buffed|buffing|buffer|buffs
mystification	mystifications
parson	parsons
corotate	corotating|corotates|corotated
blub	blubbing|blubbed
unsupplied	unsupply
gruntling	gruntles|gruntled|gruntle
gudgeon	gudgeons|gudgeoned|gudgeoning
unclimbed	unclimb|unclimbing
spirited	spiriting
bacchanal	bacchanals
torpedo	torpedos|torpedoed|torpedoing|torpedoes
popularization	popularizations
roentgen	roentgens
hoody	hoodies
talker	talkers
unheeded	unheed|unheeding
arouse	arouses|arousing|aroused
technocrat	technocrats
pledger	pledgers
indispensability	indispensabilities
rebec	rebecs
leisured	leisure|leisures
nonvoter	nonvoters
hast	hasted|hasting
nematode	nematodes
nodule	nodules|noduled
interconnection	interconnections
doorplate	doorplates
meritocracy	meritocracies
remove	removes|removing|removed
systemic	systemics
barter	bartering|bartered|barters
dater	daters
noose	noosed|noosing|nooses
denaturalize	denaturalizing|denaturalized
preconceived	preconceiving|preconceive|preconceives
undedicated	undedicate
bludgeon	bludgeons|bludgeoned|bludgeoning
circumnutate	circumnutating|circumnutated
waive	waiving|waives|waived
less	lesses|les
implicate	implicated|implicates|implicating
item	itemed|items|iteming
floatage	floatages
septum	septums
pandit	pandits
hub	hubbing|hubbed|hubs
spectacle	spectacled|spectacles
reforest	reforesting|reforests|reforested
dual	duals
always	alway
baffle	baffling|baffles|baffled
expose	exposed|exposes|exposing
ling	lings
flechette	flechettes
peas	pea
crump	crumping|crumped|crumps
acapnia	acapnias
ponton	pontons
singularize	singularized|singularizing
sumpter	sumpters
brother	brotherred|brethren|brothers
permit	permits|permitted|permitting
blubberer	blubberers
quota	quotas
pentameter	pentameters
calculator	calculators
upsilon	upsilons
python	pythons
swobber	swobbers
elongation	elongations
irreducibility	irreducibilities
wye	wyes
arietta	ariettas
jugum	jugums
ivory	ivories|ivoried
punching	punches|punched|punch
tipper	tippers
discriminating	discriminated|discriminates|discriminate
violinist	violinists
palmate	palmated
adversity	adversities
pismire	pismires
glom	glommed|glomming|gloms
mealtime	mealtimes
verbalize	verbalizing|verbalizes|verbalized
payload	payloads
sherry	sherries
lawman	lawmen
editorialize	editorialized|editorializes|editorializing
miser	misers
photodramatic	photodramatics
spellbinder	spellbinders
diffract	diffracts|diffracting|diffracted
stammerer	stammerers
ceramist	ceramists
mildew	mildewing|mildewed|mildews
waxwork	waxworking|waxworks
savant	savants
lustring	lustrings|lustred|lustre|lustres
flense	flensed|flenses|flensing
examiner	examiners
expiration	expirations
sparkler	sparklers
clump	clumping|clumped|clumps
diva	divas
serow	serows
risotto	risottos
tarnish	tarnishes|tarnishing|tarnished
renature	renaturing|renatures|renatured
vacate	vacates|vacated|vacating
propensity	propensities
ninny	ninnies
reckoning	reckon|reckoned|reckonings|reckons
hob	hobs|hobbing|hobbed
cassia	cassias
crier	criers
stemmer	stemmers
mongoose	mongooses
bridesmaid	bridesmaids|bridesmaiding
runlet	runlets
repaid	repays|repaying|repay
triadic	triadics
aborted	aborts|abort|aborting
under	underring
bulldozer	bulldozers
crucible	crucibles
dignify	dignifying|dignifies|dignified
consumed	consumes|consume|consuming
defaulter	defaulters
organons	organon
fleck	flecking|flecks|flecked
herb	herbs
uninfluenced	uninfluencing
overcrowd	overcrowded|overcrowding|overcrowds
recorded	record|records|recording
trachea	tracheas
prase	prases
os	o
titillating	titillated|titillates|titillate
steelyard	steelyards
evisceration	eviscerations
poloist	poloists
huck	hucks
dentine	dentines
cachexy	cachexies
cadenza	cadenzas
buggy	buggies
libation	libations
reprobate	reprobates|reprobating|reprobated
slub	slubbing|slubs|slubbed
display	displays|displayed|displaying
tussore	tussores
lighting	lights|lightings|light|lighted
reveal	revealing|revealed|reveals
cine	cines
yea	yeas
bulk	bulking|bulked|bulks
griper	gripers
kettle	kettles
epicalyx	epicalyxes
loathe	loathed|loathes|loathing
cull	culling|culls|culled
cohere	cohering|coheres|cohered
mod	mods
krypton	kryptons
anapaest	anapaests
superficiality	superficialities
ropiness	ropinesses
aneurism	aneurisms
copier	copiers
fagin	fagins
palsied	palsy|palsies|palsying
itinerate	itinerating|itinerated
designer	designers
gonfalon	gonfalons
postmistress	postmistresses
spherule	spherules
straw	strawing|straws|strawed
secure	secured|securing|secures
monthly	monthlies
adjudicate	adjudicating|adjudicated|adjudicates
communicant	communicants
syllabification	syllabifications
unmailed	unmail
pupate	pupates|pupated|pupating
panful	panfuls
basic	basics
scrupulosity	scrupulosities
spake	spaked
crank	cranking|cranked|cranks
collector	collectors
agonizing	agonize|agonizes|agonized
dissimilar	dissimilars
peal	pealed|peals|pealing
refinery	refineries
aquatics	aquatic
preparative	preparatives
conservation	conservations
whisky	whiskied|whiskies
ullaged	ullages|ullage
gonof	gonofs
bi	bis
crystallize	crystallizing|crystallized|crystallizes
refutal	refutals
telegrapher	telegraphers
encyst	encysting|encysts|encysted
ungowned	ungown
er	ers
sedation	sedations
smoothbore	smoothbored
javelin	javelins
declaim	declaims|declaiming|declaimed
swim	swimming|swam|swum|swims
choroid	choroids
kaka	kakas
calamint	calamints
organelle	organelles
lye	lyes
poisoned	poison|poisons|poisoning
raven	ravens
thoroughfare	thoroughfares
codify	codifies|codifying|codified
inaction	inactions
raising	raised|raisings|raise|raises
fratricide	fratricides
overheat	overheated|overheats|overheating
warrener	warreners
mots	mot
diaphragm	diaphragmed|diaphragming|diaphragms
daunter	daunters
underbody	underbodies
invitee	invitees
tapster	tapsters
understatement	understatements
tabouret	tabourets
peonage	peonages
operated	operating|operate|operates
overtop	overtopping|overtopped|overtops
denudation	denudations
bought	buying|buys|buy
marline	marlines
dolomitize	dolomitized|dolomitizing
griskin	griskins
vestment	vestmented|vestments
revulsion	revulsions
administrate	administrated|administrating|administrates
aphasic	aphasics
shell	shelled|shells|shelling
valentine	valentines
foretell	foretold|foretells|foretelling
effulge	effulges|effulged|effulging
privateer	privateering|privateered|privateers
degradation	degradations
complicate	complicated|complicates|complicating
chafer	chafers
laureate	laureates|laureated|laureating
elitism	elitisms
identifier	identifiers
brief	briefing|briefs|briefed
landlord	landlords
huntsman	huntsmen
smithereens	smithereen
gasogene	gasogenes
sorcery	sorceries
incineration	incinerations
dyad	dyads
consideration	considerations
doctrinize	doctrinizing|doctrinized
accustom	accustoming|accustoms|accustomed
fink	finks|finking|finked
osteoma	osteomas
acrobat	acrobats
jawline	jawlines
orthostichy	orthostichies
polka	polkas|polkaing|polkaed
outjuggle	outjuggling|outjuggled
samurai	samurais
mechanic	mechanics
finial	finialed|finials
countrify	countrified
filature	filatures
boner	boners
missive	missives
hotch	hotching|hotches|hotched
clericals	clerical
carbarn	carbarns
geriatrics	geriatric
sulfur	sulfurs
unvisited	unvisiting
valiance	valiances
hooded	hoods|hooding|hood
faithful	faithfuls
insulation	insulations
tarrying	tarried|tarries|tarry
insistency	insistencies
tapioca	tapiocas
sausage	sausages
devastating	devastates|devastate|devastated
pulsation	pulsations
tinter	tinters
escapade	escapades
fork	forks|forked|forking
spots	spotted|spot|spotting
valetudinary	valetudinaries
profanation	profanations
subspecialty	subspecialties
porpoise	porpoises|porpoising
battlement	battlemented|battlements
usher	ushered|ushering|ushers
filiform	filiformed
simplify	simplifying|simplified|simplifies
amphiarthrosis	amphiarthroses
pally	pallies
embalm	embalms|embalmed|embalming
rheum	rheums|rheumed
dreamt	dream|dreams|dreaming
schizoid	schizoids
cicatrize	cicatrizing|cicatrized
fesse	fesses|fessing|fessed
unbrace	unbraces|unbracing|unbraced
bastardise	bastardising|bastardised
ununiformed	ununiform
drugget	druggets
sopping	sops|sopped|sop
operatic	operatics
neckerchief	neckerchiefs
burdock	burdocks
uncriticized	uncriticizing
picnic	picnicked|picnicking|picnics
sheepman	sheepmen
deluder	deluders
hitchhike	hitchhiking|hitchhikes|hitchhiked
coequal	coequals
silver	silvers|silvered|silvering
accoutrements	accoutrement
barkeeper	barkeepers
slubbing	slub|slubs|slubbed|slubbings
pamphlet	pamphlets
sideward	sidewards
landward	landwards
selenite	selenites
thickskinned	thickskin
diddler	diddlers
spiral	spiralled|spirals|spiralling
circlet	circlets
bead	beaded|beading|beads
spiller	spillers
melismatic	melismatics
oscillating	oscillates|oscillate|oscillated
unpin	unpins|unpinned|unpinning
produce	produces|producing|produced
leakage	leakages
reform	reforms|reformed|reforming
orphan	orphans|orphaned|orphaning
catechise	catechised|catechising
sooty	sootying|sootied
supposed	suppose|supposes|supposing
depository	depositories
sparrow	sparrows
mist	mists|misted|misting
stiffening	stiffens|stiffen|stiffened
techniques	technique
flag	flags|flagging|flagged
copyist	copyists
unjoin	unjoined
pleach	pleached|pleaches|pleaching
enciphering	enciphers|encipher|enciphered
winnow	winnows|winnowing|winnowed
escaper	escapers
roughage	roughages
sever	severed|severing|severs
entertaining	entertain|entertains|entertained
analyst	analysts
unhanged	unhanging
berg	bergs
casein	caseins
octagon	octagons
oxytocin	oxytocins
congregate	congregates|congregated|congregating
unwished	unwishes|unwish|unwishing
spur	spurs|spurred|spurring
whippet	whippets
facilitation	facilitations
sophist	sophists
modernity	modernities
yen	yens
emeer	emeers
choker	chokers
tableland	tablelands
drabble	drabbles|drabbling|drabbled
unfreeze	unfreezes|unfrozen|unfreezing|unfroze
ides	ide
daw	daws|dawing|dawed
autobahn	autobahns
maisonette	maisonettes
finale	finales
overreact	overreacted|overreacts|overreacting
farthingale	farthingales
rail	railed|railing|rails
pomace	pomaces
sergeancy	sergeancies
phalange	phalanges
spencer	spencers
kreuzer	kreuzers
dragoman	dragomans|dragomen
verticil	verticils
exudate	exudates
determined	determining|determines|determine
appeal	appeals|appealed|appealing
disembarkation	disembarkations
overcloud	overclouding|overclouded|overclouds
reglet	reglets
fording	ford|forded|fords
shone	shine|shines|shining
louse	loused|lousing|louses|lice
immunity	immunities
sorter	sorters
student	students
undo	undid|undoes|undone|undoing
monotone	monotones
monograph	monographing|monographs|monographed
four	fours
overrun	overruns|overran|overrunning
petiolate	petiolated
topographer	topographers
crowbar	crowbars
ferry	ferries|ferried|ferrying
gobbing	gobbed|gob|gobs
lavabo	lavabos|lavaboes
resold	reselling|resells|resell
czardom	czardoms
cristate	cristated
nonage	nonages
self	selfs|selfing|selfed|selves
tabernacle	tabernacling|tabernacles|tabernacled
pantry	pantries
catboat	catboats
sociolinguistic	sociolinguistics
thunderbolt	thunderbolts
flapjack	flapjacks
otalgy	otalgies
optative	optatives
pang	panged|pangs|panging
chapter	chaptering|chaptered|chapters
cauterize	cauterized|cauterizes|cauterizing
spellbinding	spellbind|spellbinds|spellbound
ambusher	ambushers
loganberry	loganberries
reaction	reactions
sentient	sentients
lard	larding|larded|lards
defeat	defeating|defeats|defeated
archived	archiving|archives|archive
secretary	secretaries
unrecalled	unrecalling
interjection	interjections
reconsider	reconsidering|reconsidered|reconsiders
repairman	repairmen
stooge	stooged|stooges|stooging
assistance	assistances
twinkle	twinkled|twinkling|twinkles
embarrassed	embarrassing|embarrasses|embarrass
unpure	unpured
oat	oats
dragonet	dragonets
wattle	wattling|wattles|wattled
suckle	suckles|suckling|suckled
felonry	felonries
flattery	flatteries
haematin	haematins
crushing	crush|crushes|crushed
impassion	impassioned|impassioning
feedlot	feedlots
pruner	pruners
escape	escapes|scaped|scaping
thank	thanks|thanking|thanked
ungum	ungummed
