A	As
abgelegen	abgelegene|abgelegenes|abgelegenem|abgelegenen|abgelegener
abgenutzt	abgenutztem|abgenutzte|abgenutzten|abgenutzter|abgenutztes
abgerieben	abgeriebener|abgeriebenes|abgeriebene|abgeriebenen|abgeriebenem
abgerissen	abgerissenem|abgerissene|abgerissenes|abgerissenen|abgerissener
abgeschieden	abgeschiedenem|abgeschiedenes|abgeschiedene|abgeschiedenen|abgeschiedener
abgeschlossen	abgeschlossene|abgeschlossenes|abgeschlossner|abgeschlossenen|abgeschlossenem|abgeschlossener
abgeschmackt	abgeschmackte|abgeschmackter|abgeschmacktem|abgeschmackten|abgeschmacktes
abgeschrägt	abgeschrägter|abgeschrägte|abgeschrägten|abgeschrägtem|abgeschrägtes
abgesichert	abgesicherte|abgesicherter|abgesicherten|abgesichertem|abgesichertes
abgestumpft	abgestumpftes|abgestumpften|abgestumpfte|abgestumpfter|abgestumpftem
abgewinnen	abzugewinnen|abgewonnen|abgewinnend
abgewöhnen	abgewöhnend|abgewöhnt|abzugewöhnen
Abgott	Abgotte|Abgötter|Abgotts|Abgöttern|Abgottes
abgrenzen	abgrenzend|abgegrenzt|abzugrenzen
Abgrenzung	Abgrenzungen
Abgrund	Abgrunds|Abgrundes|Abgrunde|Abgründen|Abgründe
Abgötterei	Abgöttereien
abgöttisch	abgöttisches|abgöttische|abgöttischem|abgöttischen|abgöttischer
abhacken	abzuhacken|abhackend|abgehackt
abhaken	abzuhaken|abhakend|abgehakt
abhalten	abgehalten|abzuhalten|abhaltend
Abhandlung	Abhandlungen
Abhang	Abhangs|Abhange|Abhängen|Abhanges|Abhänge
abhauen	abzuhauen|abgehauen|abhauend
abheben	abgehoben|abzuheben|abhebend
abhelfen	abhelfend|abzuhelfen|abgeholfen
Abhilfe	Abhilfen
abhobeln	abzuhobeln|abgehobelt|abhobelnd
abholen	abgeholt|abzuholen|abholend
abhängen	abhängend|abgehangen|abzuhängen|abgehängt
abhängig	abhängiger|abhängiges|abhängigem|abhängige|abhängigen
Abhängigkeit	Abhängigkeiten
Abhören	Abhörens
abhören	abgehört|abhörend|abzuhören
abhörsicher	abhörsicherer|abhörsicheres|abhörsicheren|abhörsichere|abhörsicherem
abirren	abirrend|abgeirrt|abzuirren
Abitur	Abiturs|Abiture|Abituren
abjagen	abjagend|abzujagen|abgejagt
abkanzeln	abkanzelnd|abzukanzeln|abgekanzelt
abkapseln	abkapselnd|abzukapseln|abgekapselt
abkaufen	abgekauft|abkaufend|abzukaufen
abklingen	abzuklingen|abgeklungen|abklingend
abklären	abzuklären|abklärend|abgeklärt
Abklärung	Abklärungen
abknabbern	abgeknabbert|abzuknabbern|abknabbernd
abknallen	abzuknallen|abknallend|abgeknallt
abknicken	abzuknicken|abgeknickt|abknickend
abkommandieren	abkommandierend|abkommandiert|abzukommandieren
Abkommen	Abkommens
abkratzen	abzukratzen|abkratzend|abgekratzt
abkupfern	abkupfernd|abgekupfert|abzukupfern
abkömmlich	abkömmlicher|abkömmlichem|abkömmliche|abkömmliches|abkömmlichen
Abkömmling	Abkömmlingen|Abkömmlinge|Abkömmlings
abkühlen	abgekühlt|abkühlend|abzukühlen
Abkühlung	Abkühlungen
abkürzen	abzukürzen|abkürzend|abgekürzt
Abkürzung	Abkürzungen
Abladen	Abladens
abladen	abladend|abgeladen
Ablage	Ablagen
Ablagern	Ablagerns
ablagern	abzulagern|abgelagert|ablagernd
Ablagerung	Ablagerungen
ablassen	abzulassen|ablassend|abgelassen
Ablauf	Ablaufes|Abläufen|Ablaufe|Abläufe|Ablaufs
Ablaufen	Ablaufens
ablaufen	ablaufend|abgelaufen|abzulaufen
Ablaut	Ablauts|Ablautes|Ablauten|Ablaute
ablecken	abgeleckt|abzulecken|ableckend
Ablegen	Ablegens
ablegen	ablegend|abgelegt|abzulegen
Ableger	Ablegers|Ablegern
ablehnen	abzulehnen|ablehnend|abgelehnt
Ablehnung	Ablehnungen
ableitbar	ableitbaren|ableitbarer|ableitbare|ableitbarem|ableitbares
ableiten	abzuleiten|ableitend|abgeleitet
Ableitung	Ableitungen
ablenken	abgelenkt|ablenkend|abzulenken
Ablenkung	Ablenkungen
Ablesen	Ablesens
ablesen	abzulesen|abgelesen|ablesend
abliefern	abliefernd|abzuliefern|abgeliefert
abliegen	ablegen|abliegend|abzuliegen
Abluft	Ablüften|Ablüfte
ablösen	abgelöst|ablösend
Ablösung	Ablösungen
abmagern	abzumagern|abgemagert|abmagernd
abmessen	abmessend|abzumessen|abgemessen
Abmessung	Abmessungen
abmähen	abgemäht|abmähend|abzumähen
abmühen	abgemüht|abzumühen|abmühend
Abnahme	Abnahmen
Abnehmen	Abnehmens
Abnehmer	Abnehmers|Abnehmern
Abneigung	Abneigungen
abnorm	abnormer|abnorme|abnormen|abnormem|abnormes
abnormal	abnormalen|abnormalem|abnormaler|abnormale|abnormales
Abnutzen	Abnutzens
abnutzen	abzunutzen|abnutzend|abgenutzt
Abnutzung	Abnutzungen
abnötigen	abzunötigen|abgenötigt|abnötigend
Abonnent	Abonnenten
abonnieren	abonnierst|abonniertet|abonnierte|abonnieret|abonnierten|abonniert|abonnier|abonniertest|abonnierend|abonnierest|abonniere
Abordnung	Abordnungen
abprallen	abgeprallt|abprallend|abzuprallen
abrackern	abzurackern|abrackernd|abgerackert
abraten	abzuraten|abgeraten|abratend
abreagieren	abzureagieren|abreagierend|abreagiert
abrechnen	abzurechnen|abrechnend|abgerechnet
Abrechnung	Abrechnungen
Abrede	Abreden
Abreiben	Abreibens
abreiben	abzureiben|abgerieben|abreibend
Abreibung	Abreibungen
Abreise	Abreisen
abreisen	abgereist|abreisend|abzureisen
Abreißen	Abreißens
abreißen	abzureißen|abreißend|abgerissen
Abrieb	Abriebe|Abriebes|Abriebs|Abrieben
abriegeln	abgeriegelt|abzuriegeln|abriegelnd
abringen	abgerungen|abringend|abzuringen
abrufen	abrufend|abgerufen|abzurufen
abrunden	abzurunden|abrundend|abgerundet
abrücken	abgerückt|abrückend|abzurücken
abrüsten	abgerüstet|abzurüsten|abrüstend
Abrüstung	Abrüstungen
Abrüstungskonferenz	Abrüstungskonferenzen
Absage	Absagen
absagen	absagend|abzusagen|abgesagt
absahnen	abgesahnt|absahnend|abzusahnen
absatteln	abgesattelt|abzusatteln|absattelnd
Absaugen	Absaugens
absaugen	abzusaugen|absaugend|abgesaugt
abschaffen	abzuschaffen|abschaffend|abgeschafft
Abschaffung	Abschaffungen
abschalten	abgeschaltet|abzuschalten|abschaltend
Abschaum	Abschaums|Abschaumes|Abschaume
abscheulich	abscheulichen|abscheulichem|abscheuliche|abscheulicher|abscheuliches
Abscheulichkeit	Abscheulichkeiten
abschieben	abschiebend|abzuschieben|abgeschoben
Abschiebung	Abschiebungen
Abschiedsbrief	Abschiedsbriefen|Abschiedsbriefe|Abschiedsbriefs|Abschiedsbriefes
Abschiedsfeier	Abschiedsfeiern
Abschiedsgeschenk	Abschiedsgeschenkes|Abschiedsgeschenke|Abschiedsgeschenken|Abschiedsgeschenks
abschießen	abschießend|abzuschießen|abgeschossen
abschirmen	abgeschirmt|abschirmend|abzuschirmen
Abschirmung	Abschirmungen
abschlachten	abzuschlachten|abgeschlachtet|abschlachtend
Abschlag	Abschläge|Abschlages|Abschlage|Abschlags|Abschlägen
abschlagen	abgeschlagen|abzuschlagen|abschlagend
abschleppen	abzuschleppen|abschleppend|abgeschleppt
Abschleppwagen	Abschleppwagens
Abschluß	Abschlüsse|Abschlusse|Abschlüssen|Abschlusses
abschmecken	abzuschmecken|abgeschmeckt|abschmeckend
abschminken	abzuschminken|abschminkend|ababgeschminkt
abschnallen	abgeschnallt|abschnallend|abzuschnallen
Abschneiden	Abschneidens
abschneiden	abzuschneiden|abgeschnitten|abschneidend
Abschnitt	Abschnitts|Abschnitten|Abschnitte|Abschnittes
abschrauben	abgeschraubt|abschraubend|abzuschrauben
abschrecken	abzuschrecken|abgeschreckt|abschreckend
abschreckend	abschreckendem|abschreckender|abschreckende|abschreckendes|abschreckenden
Abschreckung	Abschreckungen
Abschreiben	Abschreibens
abschreiben	abgeschrieben|abschreibend|abzuschreiben
Abschreibung	Abschreibungen
abschreiten	abschreitend|abgeschritten|abzuschreiten
Abschrift	Abschriften
abschweifen	abgeschweift|abschweifend|abzuschweifen
abschweifend	abschweifenden|abschweifende|abschweifendes|abschweifender|abschweifendem
Abschweifung	Abschweifungen
abschwächen	abschwächend|abzuschwächen|abgeschwächt
abschwören	abgeschworen|abzuschwören|abschwörend
abschätzen	abgeschätzt|abschätzend|abzuschätzen
abschätzig	abschätziges|abschätziger|abschätzige|abschätzigen|abschätzigem
abschöpfen	abzuschöpfen|abschöpfend|abgeschöpft
abschüssig	abschüssigem|abschüssiges|abschüssige|abschüssiger|abschüssigen
abschütteln	abzuschütteln|abgeschüttelt|abschüttelnd
absehen	absehend|abgesehen|abzusehen
abseilen	abseilend|abzuseilen|abgeseilt
absenden	absendend|abzusenden|abgesendet|abgesandt
Absender	Absendern|Absenders
absenken	absenkend|abzusenken|abgesenkt
absetzen	absetzend|abgesetzt|abzusetzen
absichern	abgesichert|abzusichern|absichernd
Absicherung	Absicherungen
Absinken	Absinkens
absinken	absinkend|abgesunken|abzusinken
absitzen	abzusitzen|absitzend|abgesessen
Absolvent	Absolventen
absolvieren	absolviere|absolvieret|absolvier|absolvierst|absolvierest|absolviert|absolvierte|absolviertest|absolvierend|absolvierten|absolviertet
absondern	absondernd|abzusondern|abgesondert
Absorber	Absorbers|Absorbern
absorbieren	absorbiere|absorbierte|absorbierten|absorbieret|absorbiertet|absorbierend|absorbiertest|absorbierest|absorbierst|absorbier|absorbiert
Absorption	Absorptionen
abspalten	abspaltend|abgespalten|abzuspalten
abspannen	abgespannt|abspannend|abzuspannen
abspecken	abzuspecken|abspeckend|abgespeckt
Abspielen	Abspielens
abspielen	abspielend|abgespielt|abzuspielen
Absprache	Absprachen
absprechen	abzusprechen|absprechend|abgesprochen
abspringen	abzuspringen|abspringend|abgesprungen
abspritzen	abgespritzt|abspritzend|abzuspritzen
abspulen	abzuspulen|abgespult|abspulend
abspülen	abgespült|abzuspülen|abspülend
abstammen	abzustammen|abstammend|abgestammt
Abstammung	Abstammungen
Abstand	Abstandes|Abstands|Abstande|Abstände|Abständen
Abstauben	Abstaubens
abstauben	abzustauben|abstaubend|abgestaubt
Abstecher	Abstechers|Abstechern
abstecken	abzustecken|abgesteckt|absteckend
abstehen	abgestanden|abzustehen|abstehend
Absteigen	Absteigens
absteigen	abgestiegen|abzusteigen|absteigend
absteigend	absteigendem|absteigendes|absteigende|absteigenden|absteigender
abstellen	abgestellt|abzustellen|abstellend
Abstellraum	Abstellraume|Abstellräumen|Abstellräume|Abstellraumes|Abstellraums
abstempeln	abstempelnd|abgestempelt|abzustempeln
absterben	absterbend|abzusterben|abgestorben
Abstieg	Abstiege|Abstiegs|Abstiegen|Abstieges
Abstimmen	Abstimmens
abstimmen	abzustimmen|abgestimmt|abstimmend
Abstimmung	Abstimmungen
abstinent	abstinentes|abstinente|abstinentem|abstinenten|abstinenter
Abstoß	Abstößen|Abstoße|Abstoßes|Abstöße
abstoßen	abzustoßen|abgestoßen|abstoßend
abstoßend	abstoßender|abstoßende|abstoßenden|abstoßendem|abstoßendes
Abstoßung	Abstoßungen
abstrahieren	abstrahieret|abstrahierte|abstrahiert|abstrahierend|abstrahier|abstrahierest|abstrahiertet|abstrahiertest|abstrahierten|abstrahierst|abstrahiere
Abstrahlung	Abstrahlungen
abstrakt	abstrakter|abstrakten|abstraktes|abstraktem|abstrakte
abstreifen	abstreifend|abzustreifen|abgestreift
abstreiten	abzustreiten|abstreitend|abgestritten
Abstrich	Abstrichen|Abstriches|Abstrichs|Abstriche
abstufen	abgestuft|abzustufen|abstufend
Abstufung	Abstufungen
abstumpfen	abgestumpft|abzustumpfen|abstumpfend
Absturz	Absturzes|Abstürze|Absturze|Abstürzen
abstürzen	abstürzend|abgestürzt|abzustürzen
absurd	absurden|absurdem|absurdes|absurde|absurder
Absurdität	Absurditäten
Abszisse	Abszissen
absägen	abgesägt|abzusägen|absägend
Abt	Abts|Äbte|Äbten
abtasten	abtastend|abzutasten|abgetastet
Abtei	Abteien
Abteil	Abteilen|Abteils|Abteile|Abteiles
abteilen	abgeteilt|abzuteilen|abteilend
Abteilung	Abteilungen
Abteilungsleiter	Abteilungsleitern|Abteilungsleiters
abtippen	abzutippen|abgetippt|abtippend
Abtragen	Abtragens
abtragen	abtragend|abzutragen|abgetragen
abtreiben	abgetrieben|abzutreiben|abtreibend
abtrennen	abgetrennt|abzutrennen|abtrennend
Abtrennung	Abtrennungen
abtreten	abzutreten|abtretend|abgetreten
Abtritt	Abtritts|Abtritten|Abtrittes|Abtritte
abtropfen	abtropfend|abgetropft|abzutropfen
abtupfen	abgetupft|abzutupfen|abtupfend
abtöten	abgetötet|abtötend|abzutöten
abverlangen	abzuverlangen|abverlangend|abverlangt
abwandeln	abgewandelt|abwandelnd|abzuwandeln
Abwandern	Abwanderns
Abwarten	Abwartens
Abwaschen	Abwaschens
abwaschen	abwaschend|abzuwaschen|abgewaschen
Abwasser	Abwässer|Abwässern|Abwassers
Abwasserkanal	Abwasserkanals|Abwasserkanäle|Abwasserkanälen
Abwasserreinigung	Abwasserreinigungen
abwechseln	abgewechselt|abwechselnd|abzuwechseln
Abwechslung	Abwechslungen
abwechslungsreich	abwechslungsreiches|abwechslungsreiche|abwechslungsreichen|abwechslungsreicher|abwechslungsreichem
abwegig	abwegigen|abwegiger|abwegigem|abwegiges|abwegige
abwehren	abgewehrt|abwehrend|abzuwehren
Abwehrstoff	Abwehrstoffe|Abwehrstoffs|Abwehrstoffen|Abwehrstoffes
Abweichen	Abweichens
abweichen	abzuweichen|abgewichen|abweichend
Abweichung	Abweichungen
abweisen	abgewiesen|abweisend|abzuweisen
Abwerfen	Abwerfens
abwerfen	abwerfend|abzuwerfen|abgeworfen
abwerten	abzuwerten|abgewertet|abwertend
abwertend	abwertenden|abwertende|abwertendem|abwertender|abwertendes
Abwertung	Abwertungen
abwesend	abwesenden|abwesendes|abwesender|abwesendem|abwesende
Abwesenheit	Abwesenheiten
abwickeln	abgewickelt|abzuwickeln|abwickelnd
abwischen	abgewischt|abzuwischen|abwischend
Abwägen	Abwägens
abwägen	abzuwägen|abwägend|abgewogen
abwürgen	abgewürgt|abzuwürgen|abwürgend
Abzeichen	Abzeichens
abzeichnen	abgezeichnet|abzuzeichnen|abzeichnend
Abziehen	Abziehens
abziehen	abzuziehen|abziehend|abgezogen
abzielen	abzuzielen|abzielend|abgezielt
Abzug	Abzügen|Abzugs|Abzüge|Abzuges|Abzuge
Abzweigung	Abzweigungen
abzählen	abgezählt|abzählend|abzuzählen
abändern	abändernd|abzuändern|abgeändert
Abänderung	Abänderungen
Abänderungsantrag	Abänderungsantrage|Abänderungsantrags|Abänderungsanträgen|Abänderungsanträge|Abänderungsantrages
Acetat	Acetate|Acetats|Acetaten
Achat	Achats|Achate|Achates|Achaten
Achillessehne	Achillessehnen
achromatisch	achromatisches|achromatischen|achromatische|achromatischer|achromatischem
Achse	Achsen
Achsel	Achseln
Achselhöhle	Achselhöhlen
Achselzucken	Achselzuckens
achtbar	achtbarer|achtbares|achtbare|achtbarem|achtbaren
Achteck	Achtecken|Achteckes|Achtecke|Achtecks
achten	achtend|achtete|achte|achtet|achtest|achteten|geachtet|achtetet|achtetest
achtenswert	achtenswerte|achtenswerten|achtenswertes|achtenswertem|achtenswerter
Achterbahn	Achterbahnen
Achterdeck	Achterdecks
achtgeben	achtgebend|achtgegeben|achtzugeben
achtlos	achtloses|achtlosen|achtloser|achtlosem|achtlose
achtsam	achtsamen|achtsamem|achtsamer|achtsames|achtsame
Achtsamkeit	Achtsamkeiten
Achtzehntel	Achtzehntels|Achtzehnteln
Acker	Aeckern|Ackers|Äckern|Aecker|Äcker
Ackerbau	Ackerbaues|Ackerbaus|Ackerbaue
Actinium	Actiniums
Adapter	Adapters|Adaptern
Addieren	Addierens
addieren	addiertest|addierten|addiertet|addiere|addierest|addiert|addier|addierst|addierte|addieret|addierend
Adel	Adels
Adeln	Adelns
adeln	adelnd|adelst|adeltest|adeltet|adle|adelten|adlest|adelest|adelt|adelet|adelte|adlet|geadelt|adele|adel
Ader	Adern
Adjektiv	Adjektiven|Adjektivs|Adjektive|Adjektives
Adler	Adlers|Adlern
Admiral	Admirals|Admiräle|Admirälen|Admirale|Admiralen
adoptieren	adoptieret|adoptiere|adoptierte|adoptierend|adoptierst|adoptierten|adoptiertest|adoptier|adoptiertet|adoptiert|adoptierest
Adressat	Adressaten
Adresse	Adressen
Adressieren	Adressierens
adressieren	adressierend|adressierst|adressiert|adressieret|adressierte|adressiertet|adressiertest|adressiere|adressier|adressierest|adressierten
adrett	adretter|adrettes|adretten|adrette|adrettem
adsorbieren	adsorbierest|adsorbiertest|adsorbierte|adsorbiertet|adsorbierend|adsorbiert|adsorbieret|adsorbierten|adsorbiere|adsorbier|adsorbierst
Advent	Adventen|Advents|Adventes|Advente
Adventskalender	Adventskalenders|Adventskalendern
Adventskranz	Adventskranzes|Adventskranze|Adventskränze|Adventskränzen
Adverb	Adverbs|Adverbe|Adverbien|Adverbes
Advokat	Advokaten
adäquat	adäquate|adäquater|adäquaten|adäquatem|adäquates
Affe	Affen
Affekt	Affekten|Affekts|Affekte
affektiert	affektiertem|affektiertes|affektierte|affektierter|affektierten
Affenbrotbaum	Affenbrotbaums|Affenbrotbäumen|Affenbrotbaumes|Affenbrotbäume|Affenbrotbaume
affig	affiges|affigem|affige|affiger|affigen
Affix	Affixen|Affixe|Affixes
Affront	Affronts
Affäre	Affären
After	Afters|Aftern
Agent	Agenten
Agentur	Agenturen
Aggregatzustand	Aggregatzuständen|Aggregatzustandes|Aggregatzustands|Aggregatzustande|Aggregatzustände
aggressiv	aggressivem|aggressiver|aggressiven|aggressives|aggressive
Agitator	Agitators|Agitatoren
Agnostiker	Agnostikers|Agnostikern
Agonie	Agonien
Ahle	Ahlen
Ahn	Ahnen|Ahns|Ahne|Ahnes
Ahndung	Ahndungen
Ahne	Ahnen
ahnen	ahntest|ahnend|ahnest|ahnet|ahnten|ahnte|ahnt|ahne|ahn|geahnt|ahntet|ahnst
Ahnentafel	Ahnentafeln
ahnungslos	ahnungslose|ahnungslosen|ahnungsloser|ahnungsloses|ahnungslosem
Ahorn	Ahorne|Ahornen|Ahorns|Ahornes
Akademie	Akademien
Akademiker	Akademikers|Akademikern
akademisch	akademischem|akademisches|akademische|akademischer|akademischen
Akkord	Akkordes|Akkorden|Akkorde
Akkordeon	Akkordeons
akkreditieren	akkreditiere|akkreditieret|akkreditierend|akkreditierst|akkreditierest|akkreditierten|akkreditier|akkreditiert|akkreditiertest|akkreditierte|akkreditiertet
Akkumulator	Akkumulators|Akkumulatoren
akkumulieren	akkumulierte|akkumulierten|akkumulieret|akkumuliert|akkumulierst|akkumuliere|akkumulierest|akkumulier|akkumuliertest|akkumuliertet|akkumulierend
Akkusativ	Akkusative|Akkusativen|Akkusativs
Akrobat	Akrobaten
Akronym	Akronymen|Akronyms|Akronyme
Akt	Akte|Akts|Aktes|Akten
Akte	Akten
Aktenkoffer	Aktenkoffers|Aktenkoffern
Aktenordner	Aktenordners|Aktenordnern
Aktenschrank	Aktenschranks|Aktenschränke|Aktenschrankes|Aktenschränken|Aktenschranke
Aktentasche	Aktentaschen
Aktenzeichen	Aktenzeichens
Akteur	Akteuren|Akteure|Akteurs
Aktie	Aktien
Aktiengesellschaft	Aktiengesellschaften
Aktionär	Aktionären|Aktionärs|Aktionäre
aktiv	aktivem|aktiver|aktives|aktive|aktiven
aktivieren	aktivierten|aktiviertet|aktivierst|aktivieret|aktivier|aktivierte|aktivierend|aktiviert|aktivierest|aktiviertest|aktiviere
Aktivismus	Aktivismen
Aktivist	Aktivisten
Aktivität	Aktivitäten
aktualisieren	aktualisierst|aktualisierte|aktualisierend|aktualisieret|aktualisiertest|aktualisierten|aktualisiert|aktualisier|aktualisiere|aktualisierest|aktualisiertet
Aktualisierung	Aktualisierungen
aktuell	aktueller|aktuelles|aktuellen|aktuelle|aktuellem
Akustikkoppler	Akustikkopplern|Akustikkopplers
Akzent	Akzente|Akzentes|Akzenten|Akzents
akzeptieren	akzeptierten|akzeptiertet|akzeptierst|akzeptierest|akzeptieret|akzeptiertest|akzeptierend|akzeptier|akzeptierte|akzeptiere|akzeptiert
Alarm	Alarme|Alarmen|Alarms
Alarmanlage	Alarmanlagen
alarmieren	alarmieret|alarmiert|alarmierest|alarmierend|alarmierst|alarmier|alarmierte|alarmierten|alarmiere|alarmiertet|alarmiertest
alarmierend	alarmierenden|alarmierendes|alarmierender|alarmierende|alarmierendem
Alarmsignal	Alarmsignals|Alarmsignale|Alarmsignalen
albern	albernes|albernen|alberner|alberne|albernem
Album	Alben|Albums
Algerier	Algeriern|Algeriers
Algorithmus	Algorithmen
Alimente	Alimenten
Alkali	Alkalien|Alkalis
alkalisch	alkalischer|alkalische|alkalisches|alkalischen|alkalischem
Alkan	Alkanen|Alkans|Alkane
Alkoholgehalt	Alkoholgehalte|Alkoholgehalts|Alkoholgehaltes
Alkoholiker	Alkoholikern|Alkoholikers
Alkoholtest	Alkoholtests|Alkoholtestes|Alkoholteste|Alkoholtesten
All	Alls
Allee	Alleen
Allegorie	Allegorien
Alleinherrscher	Alleinherrschers|Alleinherrschern
Allergie	Allergien
allergisch	allergische|allergischen|allergisches|allergischer|allergischem
allgegenwärtig	allgegenwärtigem|allgegenwärtigen|allgegenwärtiges|allgegenwärtige|allgegenwärtiger
allgemein	allgemeine|allgemeinem|allgemeinen|allgemeines|allgemeiner
Allgemeinwissen	Allgemeinwissens
Allgemeinzustand	Allgemeinzuständen|Allgemeinzustände|Allgemeinzustandes|Allgemeinzustande|Allgemeinzustands
Allheilmittel	Allheilmittels|Allheilmitteln
Alligator	Alligatoren|Alligators
Alltag	Alltage|Alltags|Alltages
alltäglich	alltäglicher|alltägliches|alltäglichem|alltäglichen|alltägliche
Alm	Almen
Almosen	Almosens
Alpenveilchen	Alpenveilchens
Alphabet	Alphabets|Alphabetes|Alphabete|Alphabeten
alphabetisieren	alphabetisieret|alphabetisierten|alphabetisiert|alphabetisiertet|alphabetisierest|alphabetisier|alphabetisierend|alphabetisiertest|alphabetisierst|alphabetisiere|alphabetisierte
Alphorn	Alphorne|Alphörner|Alphorns|Alphörnern|Alphornes
Alptraum	Alpträume|Alptraumes|Alptraume|Alptraums|Alpträumen
alt	alter|altes|alten|älter|alte|altem
Altar	Altares|Altare|Altäre|Altären|Altars
