aardvark	aardvarks
bandpass	bandpasses
bandspread	bandspreads
bandstand	bandstands
bandwagon	bandwagons
bandy	bandies|bandiest|bandier|bandying|bandied
bane	baned|banes|baning
baneberry	baneberries
bang	banged|bangs|banging
banger	bangers
bangle	bangled|bangles|bangling
bangy	bangies|bangier|bangiest
banian	banians
banish	banished|banishes|banishing
banisher	banishers
banister	banistering|banistered|banisters
banjoist	banjoists
bank	banks|banked|banking
banker	bankers
banknote	banknotes
bankroll	bankrolls|bankrolled|bankrolling
bankrupt	bankrupting|bankrupts|bankrupted
banner	banners|bannering|bannered
banneret	bannerets
banquet	banqueted|banquets|banqueting
banqueter	banqueters
banquette	banquettes
banshee	banshees
bantam	bantams
bantamweight	bantamweights
banterer	banterers
bantering	banter|bantered|banterings|banters
bantling	bantlings
banyan	banyans
banzai	banzais
baobab	baobabs
bap	bapping|baps|bapped
baptise	baptises|baptising|baptised
baptismal	baptismals
baptist	baptists
baptistery	baptisteries
baptistry	baptistries
baptize	baptizes|baptizing|baptized
baptizer	baptizers
bar	barring|bars|barred
barb	barbed|barbs|barbing
barbarian	barbarians
barbarise	barbarises|barbarised|barbarising
barbarize	barbarizing|barbarizes|barbarized
barbecue	barbecued|barbecuing|barbecueing|barbecues
barbel	barbels
barbell	barbells
barber	barbers|barbered|barbering
barberry	barberries
barbet	barbets
barbette	barbettes
barbiturate	barbiturates
barbule	barbules
barcarole	barcaroles
barcarolle	barcarolles
barchan	barchans
barcode	barcodes
bard	barded|bards|barding
bardic	bardics
bare	barer|barest|bares|bared|baring
baresark	baresarks
barfly	barflies
bargain	bargaining|bargains|bargained
bargainee	bargainees
bargainer	bargainers
bargaining	bargain|bargains|bargained|bargainings
bargainor	bargainors
barge	barging|barges|barged
bargeboard	bargeboards
bargee	bargees
baring	barings
baritone	baritones
bark	barked|barking|barks
barkeeper	barkeepers
barker	barkers
barkery	barkeries
barking	barked|barkings|bark|barks
barky	barkier|barkiest
barleycorn	barleycorns
barling	barlings
barm	barms|barmed|barming
barmaid	barmaids
barmy	barmiest|barmier
barn	barned|barns|barning
barnacle	barnacling|barnacled|barnacles
barney	barneyed|barneying|barneys
barnstorm	barnstormed|barnstorming|barnstorms
barnstormer	barnstormers
barnstorming	barnstormed|barnstorms|barnstorm|barnstormings
barnyard	barnyards
barogram	barograms
barometer	barometers
baronage	baronages
baroness	baronesses
baronetcy	baronetcies
barong	barongs
barony	baronies
baroque	baroques|baroquest|baroquer
baroscope	baroscopes
barostat	barostats
baroswitch	baroswitches
barothermograph	barothermographs
barouche	barouches
barque	barques
barrack	barracks|barracked|barracking
barracker	barrackers
barracking	barrackings|barracks|barracked|barrack
barracoon	barracoons
barrage	barrages|barraged|barraging
barrator	barrators
barre	barring|barres|barred
barrel	barrelling|barrels|barrelled
barren	barrens
barretter	barretters
barricade	barricades|barricading|barricaded
barricader	barricaders
barrier	barriers|barriered|barriering
barring	barred|bars|bar|barrings
barrister	barristers
barroom	barrooms
barrow	barrows
barterer	barterers
bartering	barterings
bartizan	bartizans
barycenter	barycenters
barysphere	baryspheres
basal	basals
basan	basans
basanite	basanites
bascule	bascules
base	basing|based|bases
baseball	baseballs
baseballer	baseballers
baseband	basebands
baseboard	baseboards
baseline	baselines|baselining|baselined
basement	basements
baseplate	baseplates
bash	bashes|bashing|bashed
bashaw	bashaws
basher	bashers
basic	basics
basidiospore	basidiospores
basify	basified|basifies|basifying
basil	basilling|basils|basilled
basilic	basilics
basilisk	basilisks
basin	basined|basining|basins
basinet	basinets
basisphenoid	basisphenoids
basque	basques
bass	bas|bassed|bassing|basses
bassinet	bassinets
bassinette	bassinettes
bassoon	bassooning|bassoons|bassooned
bassoonist	bassoonists
bastard	bastarded|bastarding|bastards
bastardisation	bastardisations
bastardise	bastardised|bastardises|bastardising
bastardize	bastardized|bastardizing|bastardizes
baste	basted|basting|bastes
baster	basters
bastille	bastilled|bastilling|bastilles
bastinado	bastinadoes|bastinadoed|bastinadoing
bastion	bastioned|bastions|bastioning
bat	batted|bats|batting
batardeau	batardeaus
batata	batatas
batch	batched|batches|batching
batcher	batchers
bate	bated|bates|bating
bath	baths|bathing|bathed
bathe	bathes|bathing|bathed
bather	bathers
bathing	bathe|bathed|bathes|bathings
batholite	batholites
batholith	batholiths
bathometer	bathometers
bathrobe	bathrobes
bathroom	bathroomed|bathrooms
bathymeter	bathymeters
bathyscaph	bathyscaphs
bathyscaphe	bathyscaphes
bathythermograph	bathythermographs
batman	batmanned|batmen|batmans|batmanning
baton	batoned|batoning|batons
batrachian	batrachians
batt	batts
battalion	battalioned|battalions|battalioning
batten	battened|battening|battens
battening	battenings
batter	battered|batters|battering
battering	batterings
battle	battles|battled|battling
battledore	battledored|battledoring|battledores
battlefield	battlefields
battleground	battlegrounds
battlement	battlemented|battlements
battler	battlers
battleship	battleships
batture	battures
batty	battier|batties|battiest
bauble	baubles|baubling
baulk	baulked|baulking|baulks
bawbee	bawbees
bawd	bawds|bawded|bawding
bawdyhouse	bawdyhouses
bawl	bawling|bawled|bawls
bawler	bawlers
bay	bays|baying|bayed
bayadère	bayadères
bayberry	bayberries
bayonet	bayoneted|bayoneting|bayonets
bayou	bayous
bazaar	bazaars
bazar	bazars
bazooka	bazookas
bd	bds
beach	beaching|beaches|beached
beachhead	beachheads
beaching	beachings
beacon	beaconing|beacons|beaconed
bead	beaded|beads|beading
beader	beaders
beadle	beadles
beagle	beagles|beagling|beagled
beak	beaking|beaked|beaks
beaker	beakers
beam	beaming|beams|beamed
beaming	beamings
beamwidth	beamwidths
beamy	beamier|beamiest
bean	beaned|beaning|beans
beanery	beaneries
beano	beanos
bear	borne|bears|beared|bearing
bearberry	bearberries
beard	beards|bearded|bearding
bearded	bearding|beards|beard|beardeds
bearer	bearers
bearing	borne|bears|bear|bearings
bearskin	bearskins
beast	beasted|beasting|beasts
beat	beats|beaten|beating
beater	beaters
beatify	beatifying|beatifies|beatified
beating	beat|beaten|beats|beatings
beatitude	beatitudes
beatnik	beatniks
beaut	beauts
beautician	beauticians
beautifier	beautifiers
beautiful	beautifuls
beautify	beautifies|beautifying|beautified
beauty	beautied|beauties|beautying
beaver	beavered|beavers|beavering
beavertail	beavertails
bebop	bebops|bebopped|bebopping
bechance	bechances|bechancing|bechanced
beck	becked|becks|becking
becket	beckets
beckon	beckoned|beckons|beckoning
become	became|becoming|becomes
becquerel	becquerels
bed	bedding|beds|bedded
bedazzle	bedazzled|bedazzling|bedazzles
bedchamber	bedchambers
bedder	bedders
bedel	bedels
bedell	bedells
bedevil	bedevilled|bedeviling|bedeviled|bedevils|bedevilling
bedfellow	bedfellows
bedgown	bedgowns
bedight	bedighted|bedights|bedighting
bedim	bedims|bedimmed|bedimming
bedlam	bedlams
bedlamite	bedlamites
bedouin	bedouins
bedpan	bedpans
bedplate	bedplates
bedpost	bedposts
bedraggle	bedraggling|bedraggled|bedraggles
bedrail	bedrails
bedroll	bedrolls
bedroom	bedrooms
bedside	bedsides
bedsitter	bedsitters
bedsore	bedsores
bedspread	bedspreads
bedstead	bedsteads
bedtick	bedticks|bedticking
bee	bees
beech	beeches
beefburger	beefburgers
beefeater	beefeaters
beefy	beefiest|beefier
beehive	beehived|beehiving|beehives
beek	beeks
beekeeper	beekeepers
beeline	beelining|beelines|beelined
beep	beeping|beeps|beeped
beeper	beepers
beer	beering|beers|beered
beerhouse	beerhouses
beery	beeriest|beerier
beeswax	beeswaxing|beeswaxed|beeswaxes
beet	beets
beetle	beetles|beetling|beetled
beetling	beetlings|beetled|beetle|beetles
beezer	beezers
befall	befallen|befalling|befalls|befell
befit	befits|befitted|befitting
befog	befogged|befogs|befogging
befuddle	befuddles|befuddling|befuddled
beg	begged|begs|begging
beget	begetting|begot|begets|begotten
begetter	begetters
beggar	beggaring|beggared|beggars
beggarly	beggarlier|beggarliest
begin	began|begins|begun|beginning
beginner	beginners
begird	begirding|begirt|begirds
begonia	begonias
begrime	begrimes|begrimed|begriming
begrudge	begrudged|begrudges|begrudging
beguile	beguiles|beguiled|beguiling
beguilement	beguilements
beguiler	beguilers
beguiling	beguiles|beguilings|beguiled|beguile
begum	begums|begumming|begummed
behave	behaves|behaving|behaved
behemoth	behemoths
behest	behests|behesting|behested
behind	behinds
behold	beheld|beholding|beholds
beholder	beholders
behoove	behooving|behooves|behooved
behove	behoved|behoving|behoves
bel	bels|belling|belled
belay	belays|belayed|belaying
belch	belching|belches|belched
belcher	belchers
beldam	beldams
beldame	beldames
belemnite	belemnites
belfry	belfries|belfried
belie	belies|belay|belain|belied|belying
believe	believes|believing|believed
believer	believers
belike	beliked|beliking|belikes
belittle	belittles|belittling|belittled
belittling	belittles|belittlings|belittle|belittled
bell	belling|belled|bells
belle	belling|belles|belled
belletrist	belletrists
bellflower	bellflowers
bellhop	bellhopping|bellhops|bellhopped
belligerent	belligerents
bellite	bellites
bellmouth	bellmouths
bellow	bellowed|bellows|bellowing
bellower	bellowers
bellows	bellowsing|bellowed|bellowsed|bellowing|bellow|bellowses
bellpull	bellpulls
bellwether	bellwethers
belly	bellies|bellied|bellying
bellyache	bellyached|bellyaching|bellyaches
bellyacher	bellyachers
bellybutton	bellybuttons
bellying	bellyings
beloved	belove|beloveds
belt	belting|belted|belts
belting	belted|belt|belts|beltings
beluga	belugas
belvedere	belvedered|belvederes
bemire	bemires|bemired|bemiring
bemuse	bemused|bemuses|bemusing
bemusement	bemusements
ben	benat|benner|bens|benar|benmost
bench	benched|benches|benching
benching	benchings
benchmark	benchmarked|benchmarks|benchmarking
bend	bends|bent|bending
bender	benders
bending	bends|bendings|bent|bend
bendy	bendies|bendier|bendiest
benedick	benedicks
benedictive	benedictives
benefactress	benefactresses
benefice	beneficed|beneficing|benefices
beneficial	beneficials
beneficiary	beneficiaries
beneficiation	beneficiations
benefit	benefited|benefiting|benefits
benison	benisons
benny	bennied|bennies|bennying
bent	bends|bend|bending|bents
benthic	benthics
benzamide	benzamides
benzenoid	benzenoids
benzoate	benzoates|benzoated
benzofuran	benzofurans
benzol	benzols
benzoline	benzolines
benzyl	benzyls
bequeath	bequeaths|bequeathing|bequeathed
bequest	bequests|bequesting|bequested
berate	berating|berated|berates
berberis	berberises
berceuse	berceuses
bereave	bereaved|bereaves|bereaving
beret	berets
berg	bergs
berhyme	berhyming|berhymed|berhymes
berk	berks
berlingot	berlingots
berm	berms|berming|bermed
berry	berried|berrying|berries
berserk	berserks
berserker	berserkers
berth	berthing|berths|berthed
berthage	berthages
berthing	berthings
beseech	beseeches|beseeching|besought|beseeched
beseeching	beseech|besought|beseeches|beseechings
beset	besets|besetting
besetting	besettings|beset|besets
besiege	besieged|besieges|besieging
besieger	besiegers
besmirch	besmirching|besmirched|besmirches
besom	besoming|besoms|besomed
besot	besotting|besotted|besots
bespangle	bespangled|bespangling|bespangles
bespeak	bespeaks|bespoken|bespeaking|bespoke
besprinkle	besprinkles|besprinkled|besprinkling
bessemerize	bessemerized|bessemerizing|bessemerizes
bestead	besteaded|besteading|besteads
bestialize	bestialized|bestializes|bestializing
bestiary	bestiaries
bestir	bestirs|bestirring|bestirred
bestrew	bestrewn|bestrewing|bestrews|bestrewed
bestride	bestrode|bestrides|bestriding
bet	betted|betting|bets
beta	betaing|betaed|betas
betake	betakes|betaken|betook|betaking
bethel	bethels
bethink	bethinking|bethinks|bethought
betide	betiding|betides|betid|betided
betoken	betokened|betokens|betokening
betroth	betroths|betrothed|betrothing
betrothed	betroths|betroth|betrothing|betrotheds
better	bettered|bettering|betters
betting	bettings|betted|bets|bet
bettor	bettors
betty	betties
between	betweens
bevel	bevelled|bevels|bevelling
beveling	bevelings
bevelling	bevellings
bevy	bevies
bewildering	bewilders|bewilderings|bewilder|bewildered
bewilderment	bewilderments
bewitch	bewitches|bewitched|bewitching
bewitching	bewitch|bewitchings|bewitched|bewitches
bey	beys
bezant	bezants
bezel	bezels
bezoar	bezoars
bi	bis
biannual	biannuals
bias	biases|biased|biassing|biassed|biasing
biasing	biasings|biases|bias|biassing|biassed
bib	bibs|bibbed|bibbing
bibb	bibbs
bibber	bibbers
bibcock	bibcocks
bible	bibles
bibliofilm	bibliofilms
bibliograph	bibliographs
bibliographer	bibliographers
bibliography	bibliographies
bibliolater	bibliolaters
bibliomaniac	bibliomaniacs
bibliophile	bibliophiles
bibliophilist	bibliophilists
bibliopole	bibliopoles
bicentenary	bicentenaries
bicentennial	bicentennials
bichloride	bichlorides
bichromate	bichromated|bichromates
bicker	bickered|bickering|bickers
bickern	bickerns
bicolour	bicoloured|bicolours
bicrystal	bicrystals
bicuspid	bicuspids
bicycle	bicycles|bicycled|bicycling
bicycler	bicyclers
bicyclic	bicyclics
bicyclist	bicyclists
bicylinder	bicylinders
bid	bidden|bidding|bids
bidder	bidders
bidding	bid|bidden|biddings|bids
biddy	biddies
bide	biding|bided|bides|bode
bidet	bidets
bidual	biduals
biennale	biennales
biennial	biennials
bier	biers
biff	biffed|biffing|biffs
biffin	biffins
biflecnode	biflecnodes
bifunctor	bifunctors
bifurcate	bifurcating|bifurcates|bifurcated
big	bigged|biggest|bigger|bigs|bigging
bigamist	bigamists
bight	bighting|bighted|bights
bigot	bigots
bigwig	bigwigged|bigwigs
biharmonic	biharmonics
bijection	bijections
bike	biked|bikes|biking
biker	bikers
bikini	bikinied|bikinis
bilabial	bilabials
bilateral	bilaterals
bilateralism	bilateralisms
bilberry	bilberries
bile	biling|biled|biles
bilge	bilges|bilged|bilging
bilgy	bilgiest|bilgier
bilinear	bilinears
bilingual	bilinguals
bilk	bilks|bilked|bilking
bilker	bilkers
bill	bills|billed|billing
billabong	billabongs
billboard	billboards
billet	billeted|billeting|billets
billfold	billfolds
billhook	billhooked|billhooks|billhooking
billing	bills|bill|billed|billings
billingsgate	billingsgated|billingsgates|billingsgating
billion	billions
billionaire	billionaires
billow	billowing|billowed|billows
billowy	billowiest|billowier
billy	billies
billyboy	billyboys
billycock	billycocks
bilobate	bilobates|bilobated
bimetallic	bimetallics
bimetallist	bimetallists
bimillenary	bimillenaries
bimonthly	bimonthlies
bin	binning|binned|bins
binaphthyl	binaphthyls
binate	binated|binates|binating
bind	binds|binding|bound
binder	binders
bindery	binderies
binding	binds|bindings|bound
bindlestiff	bindlestiffs
bine	bines
bing	binging|bings|binged
binge	binges|binging|binged
binger	bingers
binit	binits
binnacle	binnacles
binocular	binoculars
binode	binodes
binominal	binominals
binormal	binormals
bint	bints
binturong	binturongs
bioassay	bioassays|bioassayed|bioassaying
biocatalyst	biocatalysts
biochemical	biochemicals
biochemist	biochemists
biodegradable	biodegradables
bioelement	bioelements
biofilter	biofiltered|biofiltering|biofilters
biographer	biographers
biography	biographying|biographied|biographies
biolith	bioliths
biologic	biologics
biological	biologicals
biologist	biologists
biomaterial	biomaterials
biome	biomes
biometrician	biometricians
biophore	biophores
biophysicist	biophysicists
biopsy	biopsying|biopsied|biopsies
biorhythm	biorhythms
bioscience	biosciences
bioscope	bioscopes
biosphere	biospheres
biostatistic	biostatistics
biota	biotas
bipartition	bipartitioning|bipartitioned|bipartitions
biped	bipeds
bipod	bipods
bipolar	bipolars
bipole	bipoles
biprism	biprisms
biquadratic	biquadratics
biquaternion	biquaternions
biracial	biracials
birch	birching|birched|birches
bird	birds|birded|birding
birdcage	birdcages
birdie	birdies|birdieing|birdied
biro	biros
birse	birses
birthday	birthdays|birthdayed|birthdaying
birthmark	birthmarks
birthplace	birthplaces
birthright	birthrights
birthstone	birthstones
bisecant	bisecants
bisect	bisects|bisected|bisecting
bisexual	bisexuals
bish	bishes
bishop	bishops|bishoped|bishoping
bishopric	bishoprics
bisk	bisks
bissextile	bissextiles
bistable	bistables
bistoury	bistouries
bistro	bistros
bisulfate	bisulfates|bisulfating|bisulfated
bisulphate	bisulphates
bit	bits|bitted|bitting
bitch	bitching|bitched|bitches
bitchy	bitchiest|bitchier
bite	bitten|biting|bit|bited|bites
biter	biters
bitewing	bitewings
biting	bitings|bitten|bited|bite|bites
bitmap	bitmaps|bitmapped
bitsy	bitsier|bitsiest
bitt	bitts|bitted|bitting
bitter	bittering|bitters|bittered
bitterling	bitterlings
bittern	bitterns
bittock	bittocks
bituminise	bituminised|bituminises|bituminising
bituminize	bituminizes|bituminizing|bituminized
bivalent	bivalents
bivalve	bivalves|bivalved
bivariate	bivariates
bivector	bivectors
biventer	biventers
bivouac	bivouacking|bivouacs|bivouacked|bivouacing
bivvy	bivvied|bivvying|bivvies
biweekly	biweeklies
blab	blabbing|blabbed|blabs
blabber	blabbers|blabbered|blabbering
blabbermouth	blabbermouths
blabby	blabbier|blabbiest
black	blacking|blackest|blacks|blacker|blacked
blackamoor	blackamoors
blackball	blackballed|blackballing|blackballs
blackberry	blackberrying|blackberries|blackberried
blackbird	blackbirded|blackbirds|blackbirding
blackboard	blackboards|blackboarded|blackboarding
blackbody	blackbodies
blackbutt	blackbutts
blackcock	blackcocks
blackener	blackeners
blackening	blackenings
blackeye	blackeyes
blackfellow	blackfellows
blackfish	blackfishing|blackfished|blackfishes
blackfly	blackflies
blackguard	blackguarding|blackguarded|blackguards
blackheart	blackhearted|blackhearts
blackjack	blackjacking|blackjacks|blackjacked
blackleg	blacklegging|blacklegged|blacklegs
blacklist	blacklisting|blacklists|blacklisted
blacklister	blacklisters
blackmailer	blackmailers
blackout	blackouts
blacksmith	blacksmithed|blacksmithing|blacksmiths
blacksnake	blacksnakes
blackthorn	blackthorns
blacktop	blacktopped|blacktopping|blacktops
blackwash	blackwashed|blackwashing|blackwashes
blacky	blackies
bladder	bladdered|bladders|bladdering
blade	blades|bladed|blading
blaeberry	blaeberries
blain	blains
blame	blaming|blames|blamed
blamer	blamers
blanch	blanching|blanches|blanched
blancher	blanchers
blanching	blanchings
bland	blanded|blander|blanding|blands|blandest
blandish	blandishes|blandishing|blandished
blandisher	blandishers
blandishment	blandishments
blank	blanking|blanks|blanked
blanker	blankers
blanket	blankets|blanketed|blanketing
blanketing	blanketings
blare	blaring|blares|blared
blaspheme	blasphemed|blaspheming|blasphemes
blasphemer	blasphemers
blast	blasting|blasted|blasts
blaster	blasters
blasting	blasted|blastings|blasts|blast
blastocoel	blastocoels
blastocoele	blastocoeles
blastocyst	blastocysts
blastoderm	blastoderms
blastomere	blastomeres
blastopore	blastopores
blastosphere	blastospheres
blastospore	blastospores
blate	blater|blatest|blating|blated|blates
blather	blathered|blathers|blathering
blatherer	blatherers
blaze	blazes|blazing|blazed
blazer	blazers
blazing	blazings|blazes|blaze|blazed
blazoner	blazoners
bleach	bleached|bleaches|bleaching
bleacher	bleachers
bleachery	bleacheries
bleaching	bleached|bleaches|bleachings|bleach
bleak	bleaker|bleakest|bleaks
bleary	bleariest|blearier
bleat	bleated|bleating|bleats
bleater	bleaters
bleb	blebbing|blebbed|blebs
bled	bleed|bleeds|bleds|bleeding
bleed	bleeds|bled|bleeding
bleeder	bleeders
bleeper	bleepers
blemish	blemished|blemishing|blemishes
blemisher	blemishers
blench	blenching|blenches|blenched
blencher	blenchers
blend	blends|blending|blended
blender	blenders
blending	blendings
blenny	blennies
blepharoplast	blepharoplasts
blepharoplasty	blepharoplasties
blepharotomy	blepharotomies
blesbok	blesboks
bless	blessing|blessed|blest|blesses
blesser	blessers
blessing	blest|blesses|blessed|blessings|bless
blet	blets|bletted|bletting
bletherskate	bletherskates
blighter	blighters
blighty	blighties
blimp	blimps|blimping|blimped
blin	blins|blinned|blinning
blind	blindest|blinder|blinded|blinding|blinds
blindage	blindages
blinder	blindered|blinders|blindering
blindfold	blindfolding|blindfolded|blindfolds
blinding	blind|blinded|blindings|blinds
blindstory	blindstories
blink	blinking|blinks|blinked
blinker	blinkered|blinkering|blinkers
blinking	blink|blinks|blinked|blinkings
blintze	blintzes
blip	blipped|blips|blipping
blister	blistering|blistered|blisters
blistering	blisters|blisterings|blistered|blister
blithe	blither|blithest
blithering	blither|blithers|blitherings
blitz	blitzing|blitzed|blitzes
blitzkrieg	blitzkrieging|blitzkrieged|blitzkriegs
blizzard	blizzards|blizzarded|blizzarding
bloat	bloated|bloats|bloating
bloater	bloaters
bloating	bloatings
blob	blobbed|blobbing|blobs
blobber	blobbers
bloc	blocs
block	blocking|blocks|blocked
blockade	blockades|blockaded|blockading
blockader	blockaders
blockbuster	blockbusters
blocker	blockers
blockhead	blockheads|blockheaded|blockheading
blocksize	blocksizes
blocky	blockier|blockiest
bloke	blokes
blond	blonds|blonded|blonding
blonde	blondes
bloodhound	bloodhounds
bloodline	bloodlines
bloodstream	bloodstreams
bloodsucker	bloodsuckers
bloodworm	bloodworms
bloody	bloodiest|bloodying|bloodier|bloodied|bloodies
bloom	blooms|blooming|bloomed
bloomer	bloomers
bloomery	bloomeries
blooper	bloopers
blot	blots|blotted|blotting
blotch	blotches|blotched|blotching
blotchy	blotchier|blotchiest
blotter	blotters
blotto	blottos|blottoing|blottoed
blouse	blousing|bloused|blouses
blow	blows|blowing|blew|blown
blower	blowers
blowfly	blowflies
blowhard	blowhards
blowhole	blowholes|blowholing|blowholed
blowing	blowings
blowout	blowouts
blowtorch	blowtorched|blowtorches|blowtorching
blowtube	blowtubes
blowup	blowups
blowy	blowies|blowier|blowiest
blowzy	blowzier|blowziest
blub	blubbing|blubbed|blubs
blubberer	blubberers
bludge	bludges|bludging|bludged
bludgeon	bludgeoning|bludgeoned|bludgeons
bludgeoner	bludgeoners
blue	blues|bluest|blued|bluer|bluing|blueing
bluebell	bluebells|bluebelled
blueberry	blueberries|blueberrying|blueberried
bluebird	bluebirds
bluebonnet	bluebonnets
bluebottle	bluebottles
bluejacket	bluejackets
blueline	bluelined|bluelining|bluelines
blueprint	blueprinting|blueprinted|blueprints
bluestocking	bluestockings
bluesy	bluesiest|bluesier
bluet	bluets
bluff	bluffed|bluffing|bluffs|bluffer|bluffest
bluffer	bluffers
bluing	blues|blued|blue|bluings
blunder	blunders|blundered|blundering
blunderbuss	blunderbusses|blunderbussed|blunderbussing
blunderer	blunderers
blunderhead	blunderheads|blunderheaded
blunger	blungers
blunt	bluntest|blunting|blunts|blunted|blunter
blur	blurred|blurs|blurring
blurb	blurbed|blurbs|blurbing
blurring	blurrings
blurry	blurriest|blurrier
blurt	blurted|blurts|blurting
blurter	blurters
blush	blushing|blushes|blushed
blushing	blushed|blushings|blushes|blush
bluster	blustering|blusters|blustered
blusterer	blusterers
bo	bos|boing
board	boards|boarding|boarded
boarder	boarders
boardroom	boardrooms
boardwalk	boardwalking|boardwalked|boardwalks
boast	boasted|boasting|boasts
boaster	boasters
boasting	boastings
boat	boats|boating|boated
boatel	boatels
boater	boaters
boathook	boathooks
boathouse	boathouses
boatie	boaties
boattail	boattails
bob	bobbed|bobbing|bobs
bobber	bobbers
bobbery	bobberies
bobbin	bobbins
bobble	bobbling|bobbled|bobbles
bobby	bobbies
bobcat	bobcats
bobsled	bobsleds|bobsledding|bobsledded
bobsledder	bobsledders
bobtail	bobtails|bobtailing|bobtailed
bobwig	bobwigs
boche	boches
bod	bods
bode	boding|bodes|boded
bodega	bodegas
bodement	bodements
bodge	bodging|bodges|bodged
bodgie	bodgies
bodhisattva	bodhisattvas
bodice	bodiced|bodices
boding	bodings|bodes|boded|bode
bodkin	bodkins
body	bodying|bodied|bodies
bodyguard	bodyguarded|bodyguards|bodyguarding
bodysurfer	bodysurfers
bodywarmer	bodywarmers
boehmite	boehmites
boffin	boffins
bog	bogging|bogger|boggest|bogged|bogs
bogbean	bogbeans
bogey	bogeyed|bogeys|bogeying
boggle	boggled|boggles|boggling
boggler	bogglers
boggy	boggiest|boggier
bogie	bogies
bogle	bogled|bogles
bogroll	bogrolls
bogy	bogies
bohemian	bohemians
bohunk	bohunks
boil	boiled|boils|boiling
boiler	boilers
boilerplate	boilerplated|boilerplating|boilerplates
boko	bokos
bola	bolas
bold	bolds|bolder|bolding|bolded|boldest
boldface	boldfaced|boldfaces|boldfacing
bole	boled|boles
bolection	bolectioned|bolections
bolero	boleros|boleroed|boleroing
bolide	bolides
boliviano	bolivianos
boll	bolls|bolled|bolling
bollard	bollards
bollocking	bollock|bollockings|bollocks
bollocks	bollock|bollocksed|bollocksing|bollockses
bolo	boloing|bolos|boloed
bolometer	bolometers
bolshevize	bolshevizes|bolshevized|bolshevizing
bolshie	bolshiest|bolshies|bolshier
bolshy	bolshiest|bolshies|bolshier
bolster	bolstering|bolstered|bolsters
bolsterer	bolsterers
bolt	bolting|bolts|bolted
bolter	boltered|bolters|boltering
bolthead	boltheads
bolting	boltings
boltrope	boltropes
bolus	bolused|boluses|boli|bolusing
bomb	bombs|bombed|bombing
bombard	bombarding|bombards|bombarded
bombarder	bombarders
bombardier	bombardiers
bombarding	bombardings
bombardon	bombardons
bombe	bombed|bombing|bombes
bomber	bombers
bombinate	bombinates|bombinated|bombinating
bombing	bombings|bomb|bombs|bombed
bombshell	bombshells
bombsight	bombsights
bonanza	bonanzas
bonbon	bonbons
bonce	bonces
bond	bonded|bonding|bonds
bonder	bonders
bondholder	bondholders
bonding	bonded|bondings|bonds|bond
bondstone	bondstones
bone	boned|boning|bones
boner	boners
bonfire	bonfired|bonfires|bonfiring
bong	bonged|bongs|bonging
bongo	bongos|bongoes|bongoed|bongoing
bongoist	bongoists
boning	bonings
bonne	bonnes
bonnet	bonneting|bonneted|bonnets
bonny	bonnies
bonsai	bonsaied|bonsais|bonsaiing
bonus	bonuses|bonusing|bonused
bony	boniest|bonier
bonze	bonzes
bonzer	bonzers
boo	boos|booing|booed
boob	boobs|boobing|boobed
boobook	boobooks
booby	boobied|boobying|boobies
boohoo	boohoos|boohooing|boohooed
book	booked|booking|books
bookbinder	bookbinders
bookcase	bookcases
booker	bookers
bookie	bookies
bookkeeper	bookkeepers
booklet	booklets
bookmaker	bookmakers
bookmark	bookmarks|bookmarking|bookmarked
bookplate	bookplating|bookplated|bookplates
bookseller	booksellers
bookshop	bookshops
bookstall	bookstalls
booktoken	booktokens
bookworm	bookworms
boolean	booleans
boom	booms|booming|boomed
boomer	boomers
boomerang	boomeranged|boomerangs|boomeranging
booming	boomings
boomlet	boomlets
boomster	boomsters
boon	boons
boondoggle	boondoggled|boondoggles|boondoggling
boor	boors
boost	boosting|boosted|boosts
boot	booted|boots|booting
bootblack	bootblacked|bootblacks|bootblacking
bootee	bootees
booth	booths
booting	bootings
bootjack	bootjacked|bootjacking|bootjacks
bootlace	bootlaces
bootleg	bootlegged|bootlegging|bootlegs
bootlegger	bootleggers
bootlick	bootlicked|bootlicking|bootlicks
bootlicker	bootlickers
bootload	bootloads
bootmaker	bootmakers
bootstrap	bootstrapped|bootstraps|bootstrapping
bootstrapping	bootstrapped|bootstrap|bootstraps|bootstrappings
booze	boozed|boozes|boozing
boozer	boozers
boozy	boozier|booziest
bop	bops|bopped|bopping
bopper	boppers
bora	boras
boracite	boracites
bord	bords
bordel	bordels
bordello	bordellos
borderer	borderers
bordering	borderings
borderland	borderlands
borderline	borderlines|borderlining|borderlined
bordure	bordured|bordures
bore	boring|bores|bored
boreas	boreases
borehole	boreholing|boreholed|boreholes
borer	borers
borescope	borescopes
boring	bore|borings|bores|bored
born	borning|borns
borough	boroughs
borrow	borrowed|borrowing|borrows
borrower	borrowers
borstal	borstals
bortsch	bortsches
bosh	boshing|boshes|boshed
bosk	bosks
bosket	boskets
bosky	boskiest|boskier
bosom	bosomed|bosoming|bosoms
boson	bosons
bosquet	bosquets
boss	bossing|bossed|bosses
bossage	bossages
bossing	bossings
bossy	bossies|bossiest|bossier
botanic	botanics
botanical	botanicals
botanist	botanists
botanize	botanizing|botanized|botanizes
botanizer	botanizers
botch	botching|botched|botches
botcher	botchers
botel	botels
botfly	botflies
bothie	bothies
bothy	bothies
botryoid	botryoids
bott	botts
bottle	bottles|bottled|bottling
